Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,7,2.226406078620144,2.196063996942474,2.16685471123418,2.1388345205097927,2.112055819887987,2.086566594204525,2.0624098071854293,2.0396226516588984,2.0182357127199952,1.9982718201821361,1.9797448208742272,1.9626580359831125,1.94700244649077,1.9327545551935517,1.919873890231751,1.9083001229023244,1.8979497878837763,1.8887126201630535,1.880447564012149,1.8729785700303085,1.866090381346189
2,7,4.362308212625816,4.274627394387365,4.184541379423473,4.09217067367152,3.9977195511480415,3.9014645908489225,3.803737864937274,3.704900764775439,3.605348953721817,3.5054668485471683,3.405571999646467,3.306043984978485,3.2071530197150127,3.109063531656345,3.012139092805313,2.9164962514234407,2.8222304688935274,2.7215156485797234,2.6321825512983907,2.544043112429554,2.457200634995738
3,7,5.220390704065247,4.989453732240916,4.763923509461225,4.546607523954448,4.339811310556352,4.145300182406908,3.9643395401279427,3.7975446915761735,3.645650318543347,3.508451635805457,3.385806635297869,3.2724775558255508,3.1782806023881407,3.095862259239792,3.024481405943088,2.963200300902091,2.9110947301080214,2.8596827943815675,2.824911201325284,2.795885036380594,2.7716335220235275
4,7,6.944451099866996,6.714353152076863,6.476623961467774,6.234868481720899,5.992899150179655,5.754459695798114,5.5229093328646455,5.300938199982886,5.090349692408458,4.892186886968279,4.70689503495912,4.522449495552309,4.3642183920239335,4.215342324668514,4.074530595913078,3.9411102130558997,3.8139961574026406,3.678911653238046,3.56666686757564,3.4573001931193263,3.35071966769462
5,7,7.852993812677369,7.557301582283117,7.204656048957837,6.809829912793405,6.390934526754262,5.965432857120038,5.547628423701674,5.1479332438101615,4.772765221251056,4.4259944760128365,4.109874219497179,3.784971312897552,3.541742650361298,3.3238767686735535,3.1300813993683727,2.9587706843402555,2.808796588579114,2.653639822145142,2.549518080634338,2.4592971924501095,2.3814957090307884
6,7,8.462244024928209,8.296553822472436,7.987858642633949,7.503379396860372,6.87053503948884,6.160847387869073,5.44363243999809,4.765498484945374,4.152506083245143,3.6176118042143695,3.163759496250516,2.7142406316574155,2.43116828862049,2.1975548181577462,2.0058717391125245,1.8475842726141853,1.7168730478224463,1.5971952647577419,1.51151372061911,1.4384752556376155,1.3758007905585947
7,7,8.55801191657657,8.455693751269973,8.232076422991923,7.808944239384292,7.149586692143637,6.324118552579391,5.460130728780199,4.6588355347313195,3.974124167358693,3.4204801750941884,2.989493644263992,2.6194322949067588,2.392137550765951,2.217647389862019,2.08481726847465,1.983879761592052,1.9069895279016185,1.8459873320282336,1.8030867039005096,1.7694775480406675,1.7435166128860522
8,7,8.57783111361719,8.530152519303241,8.373222804226039,7.953526128154141,7.174185891512495,6.193555185694167,5.234481832632736,4.415420880681487,3.7703394682455533,3.2868609603989962,2.9318708751592486,2.6410272723431185,2.458995829665688,2.3130581348752473,2.1943992036239637,2.0950797726494015,2.009753392050044,1.926689658844235,1.863719965717209,1.8059041626479084,1.7531010067894321
9,7,8.600387720777034,8.562328247836312,8.453342730728462,8.184230984603792,7.626354474634246,6.758446045940692,5.766226193607864,4.859827838273482,4.135857035438197,3.5941419872809344,3.1976658578973485,2.882267032810019,2.6786364710060804,2.521996257055845,2.4005674410115243,2.3056066448140062,2.230537251308161,2.166053414386019,2.1207507096149114,2.083931820524976,2.0543289142536523
