Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,5,0.902298744049546,0.9111807508164126,0.9198168618086293,0.9565378936560885,0.9738169774089172,0.9905534056083031,1.0066203165771888,1.022200794911739,1.0363368995774063,1.0496893067477002,1.0619843014264199,1.0729940577739177,1.0825622019063286,1.0907262686610137,1.097639209026438,1.102590330073179,1.1057853350508866,1.1071546223685627,1.1066446498950049,1.1042199210765578,1.0998646791791298
2,5,1.9881716565344363,1.9915233080809058,1.9918369478407374,1.9803597733221023,1.97011562201099,1.9547793538216842,1.9340227972960982,1.906216299036691,1.874615514113261,1.8348056489569962,1.7801048449751475,1.7277428919099982,1.6757124880959193,1.6119153112537614,1.5456572680951872,1.4749320654917273,1.4041280727777048,1.3291305259955148,1.2595635119737016,1.186957628490891,1.120129155142035
3,5,2.485753610970541,2.486093074559827,2.48554555160352,2.470236733091454,2.454543537302821,2.43113049806805,2.3990803699328067,2.3575881329982966,2.3068028385783506,2.2456173307382152,2.160722055097905,2.0832413128097245,2.010338779908839,1.9197423610067348,1.8302086947972347,1.73928920966967,1.6545814677071091,1.558670355781818,1.489062393566771,1.396200662390487,1.3270868634761792
4,5,2.6254950920966253,2.6244393460191278,2.6209353654700345,2.6049465826454004,2.5869857859164074,2.5582720135498,2.517850557556104,2.4603509758186326,2.392106326096197,2.309456421871284,2.2150390386906667,2.120064430444716,2.0064086023349015,1.8899459951787931,1.7808624163373228,1.6758372492661922,1.5789469008239323,1.477788517118078,1.402959837449575,1.3093692984704288,1.2398113819673082
5,5,2.643569660010713,2.643714163718632,2.64312573525815,2.627724480585894,2.6113371792389444,2.587670725903377,2.5530949320228316,2.502442094141868,2.4369971121458507,2.3565100446997174,2.3078666131441365,2.2252422324017473,2.089185811174212,1.9819047578593108,1.8515006714827609,1.760826695700917,1.678914275186252,1.6050608875704564,1.5413041402755359,1.4728180090230796,1.4214519607375027
6,5,2.666692638890458,2.6679773896478287,2.6676678025112497,2.652494821497328,2.6385665274625394,2.612995032658246,2.572184079834228,2.4989266818098965,2.40906875441476,2.296021011357878,2.2449565622899104,2.130899067262415,1.9496062492205872,1.8208522087022017,1.6575497364308394,1.5594653744320712,1.4826723554930812,1.4103742342181098,1.3457670386313672,1.2712891088003342,1.222247589770204
7,5,2.6567602150178384,2.657554192745603,2.656097481112499,2.647435080825366,2.6354258799358514,2.613865104766628,2.5800776512037054,2.518871586173827,2.4433428842205664,2.34392913833299,2.2872550081290566,2.174145754215187,2.015601348015384,1.8952227305372622,1.753869861609829,1.654012690027873,1.5712527006738135,1.496788987667745,1.4227570276283537,1.3530184737378912,1.283864502038509
8,5,2.659702842194559,2.659998921081176,2.658987259101221,2.6511256030064745,2.6399703226128777,2.616887236287402,2.5788964639536247,2.5118583097463927,2.435387347058804,2.3396461634932053,2.261992927375338,2.1551067424103256,1.9594367136161412,1.8647571602498614,1.80575978683738,1.7063458249529933,1.6136962605134262,1.489109311718234,1.419034091209279,1.241452632508651,1.1665006942723035
9,5,2.6304064343344553,2.6307828449220603,2.6284658400810694,2.6200957886323035,2.6003348726017808,2.566989956624106,2.514587562246983,2.436830295091254,2.349409185832967,2.2459031036974557,2.0874143562387704,1.9519296001531359,1.720086093223978,1.667011603381378,1.7175371268766721,1.611055710770743,1.543079386961402,1.41270058496341,1.3563665059097076,1.1880726192255893,1.137974761599543
10,5,2.6793177927492904,2.6768600100305364,2.671526009160694,2.6417029393046234,2.6115695446990155,2.560644055367129,2.48634764364282,2.380376638753894,2.2607887681987657,2.1175508087052015,1.8222458305641662,1.5876762565292228,1.1767103341903034,1.1577274604238754,1.3784973948337447,1.2383867898682037,1.2381523499005151,1.1214882286097467,1.0691872573611259,0.9314847148933811,0.8757500420980047
11,5,2.659571061386579,2.6587656896742775,2.6553839331982476,2.6366221119507376,2.6109440716270713,2.575691041269219,2.52874724575278,2.4788686076280513,2.4216464227874774,2.336163445271541,1.8776438485263602,1.4679040085532677,0.8281513077436358,0.8669883495986844,1.4431110448476918,1.1794907388475744,1.5183790630258753,1.3698960494857328,1.2829600357216215,1.0359908682885084,0.6978524739111766
12,5,2.6466336171443454,2.646944480794012,2.6476282009644985,2.623939297942971,2.60065169510817,2.5686157686347375,2.5222517512567912,2.456558828599176,2.3789160422962445,2.2098500639897836,1.171449298225328,0.6644664497435854,0.2438288625584498,0.24543240861637702,0.7036168188276852,0.4621271534493774,1.3126041650157176,1.1728875291883316,1.1510367220075854,0.5533587510593625,0.19051656940987133
13,5,2.6475675329311708,2.649859403642444,2.6536514813580783,2.658249889513261,2.644764895142548,2.608592972701214,2.5250457271167126,2.3732046674671374,2.2225242368608478,1.8948147586864488,0.5334229653724516,0.22459950400746892,0.06954747421692609,0.07055932933610747,0.2878905695172389,0.1656294532828602,1.465217061592231,1.0728647779206253,1.3739571759308031,0.1776586330739585,0.04767902788964672
14,5,2.649010722973301,2.649568257724814,2.6475416305514363,2.6559764121072216,2.6430276836181847,2.5935705035084116,2.4500620954458823,2.1789597572640007,1.9440881203300064,1.3950889124471095,0.24721727888587777,0.09011187581407241,0.018701995167019342,0.01816058420645616,0.07627607011562951,0.03770157108755549,1.6936055875850133,0.4863574642380564,1.559402105953441,0.028461596819805424,0.0058446840009503
15,5,2.6535742131329423,2.655767868392331,2.6570237453602505,2.6427664011795606,2.6221558958382287,2.5446709685284348,2.2929551048118046,1.8654951197748109,1.5402468570334458,0.8512447337748016,0.09456410741356147,0.026465085424675572,0.005934238252848149,0.005184982772343763,0.016637463592727202,0.007003280619654482,1.5434028136527966,0.0935032866116661,1.3103389853712328,0.003325500721071596,0.0006001179471154835
16,5,2.6814128489342286,2.683598150466983,2.6847604361346535,2.6617577071903487,2.6205512232057377,2.4425428643225136,1.895007585572582,1.1990617462417348,0.807281693346579,0.3145049111553816,0.028481881314067283,0.007011630419351318,0.00132718339224272,0.0010660206985669545,0.0028437732888554586,0.0011848966294882928,1.4920879848258866,0.012340418043699779,1.3013702779587901,0.0003674042917821162,1.9895062309378325e-5
17,5,2.6655224635415116,2.666714762966833,2.6684297060401967,2.659053643371204,2.6078095415635305,2.284842548916922,1.4039878086070419,0.6727197232817332,0.37593960573248014,0.11799449319725096,0.01410449478132581,0.0036408584899816072,0.0005714671236431388,0.00044976974903656957,0.0006744900196837406,0.0002519877044806265,1.6740616642243764,0.002525454300347301,1.4583226420322941,6.722014629769745e-5,-0.0
18,5,2.6594987503765344,2.65928492412289,2.6559601706754195,2.629392704060283,2.5344813746572266,1.914051155094764,0.8317856595582463,0.30580150662103756,0.1438515079951172,0.03792671346070607,0.006189009884240373,0.0008647151749517911,-0.0,-0.0,0.00013193014519611546,4.784584169473516e-5,1.561212178386041,0.00032539345881255023,1.401303750951297,2.0679907527524863e-5,-0.0
19,5,2.630681503405293,2.630158694746866,2.6274821830169186,2.6008705120465816,2.4690768170599684,1.479044372286897,0.45167688707599674,0.13496662122146147,0.055899288740087344,0.012807721296707398,0.0025182908825366612,-0.0,-0.0,-0.0,1.7940367731790942e-5,-0.0,1.3641547585165263,2.03000669921818e-5,1.2167331416425633,-0.0,-0.0
20,5,2.6293346719675585,2.629846902003181,2.631964778371994,2.6075250604977454,2.38675205295914,1.0464545248655255,0.2378011216217887,0.06196852985735676,0.02615267920651932,0.004858136202488022,0.001055019729724068,-0.0,-0.0,-0.0,-0.0,-0.0,1.4950889167060772,-0.0,1.3596887229302923,-0.0,-0.0
21,5,2.640617551410658,2.6415194109885016,2.645309338922908,2.6296004784186,2.2388926399429123,0.6592720057550492,0.1150763213786918,0.029437031481981586,0.012921533821726635,0.0019672055663220917,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3859772272283717,-0.0,1.2338121401367024,-0.0,-0.0
22,5,2.649162466192996,2.649062991894458,2.648381045184524,2.623712809869489,1.90818052588626,0.3670550874962988,0.051055672712834774,0.014470336079967167,0.0055637899220375465,0.0008001121602604422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2531801190063745,-0.0,1.0800275808375681,-0.0,-0.0
23,5,2.647246928251083,2.6458097678530197,2.641490451301924,2.5833911682209836,1.5215028995773645,0.20087203983211177,0.023407860653394914,0.008244326503795526,0.0021343535325984682,0.0003482326836703881,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3569784614191673,-0.0,1.1882574433815116,-0.0,-0.0
24,5,2.652741215367489,2.654425174602147,2.652856883213699,2.5941062669319046,1.1514103153020545,0.10832693206864297,0.010532681781997308,0.003523504294123815,0.0007786994193130686,0.0001371820740333165,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.093327821907815,-0.0,0.9702451488924142,-0.0,-0.0
25,5,2.66926131533878,2.6707781770211523,2.6679738447389467,2.575666502658863,0.8016886372609255,0.05668506315742114,0.005232085977588319,0.0005760099399708495,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.146441041700485,-0.0,1.0304363047526723,-0.0,-0.0
26,5,2.6740137464244644,2.675014477946933,2.6717550575968096,2.527089502244611,0.5311289808561603,0.02984766621662563,0.002948979041991441,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3125928717977802,-0.0,1.1746669638593414,-0.0,-0.0
27,5,2.6656950803333155,2.6673241536409242,2.6688775376741924,2.4911051528705976,0.3411076379526036,0.015880101971035517,0.0017023253102059859,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3933898458717808,-0.0,1.2222120735997462,-0.0,-0.0
