Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,7,1.1244748865950318,1.1254087109962239,1.1162537239576074,1.1103916141843613,1.1033051541007903,1.0949590499066164,1.085324879788295,1.0743819791669498,1.0621182622768592,1.0485309515865995,1.0336271864973647,1.0174244839960704,0.999951026624887,0.9812457572936334,0.96135826604826,0.9403484607513942,0.9182860214564006,0.8952496466942369,0.8713261084972018,0.8466091412658181,0.8211981970477193
2,7,2.207649611675884,2.2050112394879697,2.117917073867393,2.0660980839030976,2.0100846946333837,1.950187696814964,1.8869165427282968,1.8208417468049591,1.7528128577849262,1.6833622874554606,1.6132857954750313,1.5433773220142377,1.4743315853637535,1.4068388626169495,1.341490044774272,1.278747797520283,1.219150808086099,1.1628502417762476,1.109998691527912,1.0608066164710177,1.0152035892507631
3,7,3.0610276108646532,3.0521456009853307,2.892871386084173,2.7907664763706124,2.6785169058165756,2.5579003572577204,2.4264456506551126,2.301455106555259,2.1656338801980644,2.036888872553257,1.9030931156675177,1.7853636358923146,1.680288217870389,1.575447144714116,1.4780339759866539,1.3903189423612128,1.304184424493806,1.229637989083898,1.1629456722343228,1.0997520180312341,1.0419375021273385
4,7,3.575617664707153,3.569543947030067,3.3742418969414234,3.2363344392337807,3.075798154782648,2.8971045973743648,2.6692617826846483,2.5107176693040123,2.2913080696061616,2.10870084126062,1.9098225330418959,1.7556690093058802,1.6276062896870191,1.4956186786422825,1.3783384795480549,1.2788850377632057,1.1778803450734108,1.0973544216520312,1.0302544620354195,0.9667328407126167,0.9111255519493844
5,7,3.850658604522723,3.8484341197527154,3.676306330470432,3.533824566018566,3.3534945873116566,3.141965110868029,2.830294651361833,2.6721814164697784,2.388362941362403,2.181289197911732,1.9431897315197466,1.7803535140910285,1.6560855368649854,1.517799153392605,1.3944861449487096,1.2916196336935335,1.1774866828294002,1.0877830550767535,1.0118819395717276,0.9347035862730779,0.8644020443562628
6,7,3.9644412317661426,3.9629244442873848,3.8425972396149235,3.724359869997834,3.560382284597627,3.3556332891809046,3.0235433293219227,2.880984219088054,2.5877150663927324,2.383006832857224,2.1395321516444765,1.9796642274915845,1.8583026168455545,1.718869541718827,1.5940970801108245,1.4921128847499718,1.3761756529519602,1.2885728014462845,1.2135815448276497,1.1388195952709528,1.0719379872259596
7,7,3.996050912366838,3.995735497849649,3.9043854459114877,3.80412170722557,3.6551913512885177,3.4595981026259617,3.1162126123471645,2.990397691067024,2.695579331905304,2.4945933926001755,2.2566815793901718,2.0969077847782542,1.9793467457715082,1.842856004521053,1.7184268205439737,1.6111484810885492,1.4941974715294657,1.3983948990988926,1.3078562658635051,1.219939158164952,1.137594443953393
8,7,4.024233219989929,4.023848956418487,3.983072140398573,3.9274962548114067,3.832955615139849,3.691739265064122,3.3834722592337187,3.2860721695118325,2.9764642525347953,2.7494724725996744,2.44444756020582,2.240219964703844,2.0937638844838946,1.9082119752158921,1.7340276553457643,1.5889163829434791,1.4214213089652352,1.299899261212176,1.1974263878590452,1.0976253413434887,1.0121961268633015
9,7,4.037582329252199,4.03733965785398,4.018962356680623,3.9869252046091286,3.9256529774710165,3.8217491660026255,3.527450037504089,3.461010014400161,3.122679809519558,2.8696557475956337,2.498649842086884,2.2587125118014226,2.1068949372461,1.888484650335538,1.696145659940436,1.5435435166050717,1.37094173355271,1.263244311063974,1.1793522354937716,1.0970971346662493,1.0291525928335143
10,7,4.033389436946209,4.032555999960548,4.019710992155352,3.9943439849847295,3.9413931534545976,3.8434497408731745,3.5456301285522644,3.4567612355710238,3.0982919980741768,2.8164976858588866,2.4348025859990314,2.19698038688202,2.064178137066275,1.8737371847267492,1.7247053170011688,1.6122223024819409,1.4792940734929438,1.404211922082448,1.344124460136518,1.280029666587732,1.2245725635218
11,7,4.0361114830046905,4.035355801412726,4.024020978476385,4.001958218571735,3.954587955193471,3.8576281610105045,3.5428594894699756,3.4026199758622964,2.999844257201798,2.664181646307431,2.225493678717767,1.9735203740622511,1.8446376562018063,1.6717828430572703,1.5293441106865173,1.4216375568589954,1.2870525562118231,1.208757267281657,1.1513942284360248,1.0840638810233512,1.0252402127030398
12,7,4.033979602308347,4.032829855158657,4.0241542615527015,4.005202863987022,3.9618753596268013,3.863370146219022,3.5493167150623526,3.3580871956926717,2.9474968920188993,2.610525115942733,2.2006263521492206,1.983625180216775,1.8927363797037515,1.7721646338432278,1.6703882782713642,1.6383750990021397,1.4277999275884556,1.3874293195090457,1.4475948996552983,1.3991327132230122,1.3559227648601258
13,7,4.034430486965819,4.03312997580014,4.0211984072157945,4.0010175302082835,3.9569615659684985,3.853608486787929,3.509191772249839,3.30188234866587,2.8593417695965937,2.530661837181291,2.129334545146742,1.9081616215789508,1.79566883411433,1.696315690110351,1.5780727160413974,1.7771122594394793,1.0762971989356744,1.0469863709713305,1.5979520372744274,1.5444980872997855,1.4928525528134795
14,7,4.036451679482619,4.035676416711519,4.020881268619047,3.9976764181330213,3.948431910182004,3.833261821552997,3.443842794384339,3.212939091033897,2.6132487027534608,2.2445646086615034,1.7414066245250694,1.3774459370316288,1.1370868283056887,1.0127331530973465,0.82616842524697,1.5122016368888773,0.29247414511983205,0.2589491709541129,1.2393753479060616,1.164581083635937,1.098441844960962
15,7,4.033468947492937,4.032423724029669,4.021501975568189,3.9956949333502747,3.9364694758540244,3.806039974685135,3.3624568065249423,3.1952070466787057,2.224482943551776,1.7971481830296494,1.1449044582303047,0.7022682081164976,0.47219261872033363,0.3840520157597441,0.2652416791806477,1.4147218341361174,0.06014179082640194,0.04996279371914949,1.1722232482724495,1.1171445863568512,1.0715979525239807
16,7,4.037589530780718,4.036703009033981,4.02245727316159,3.996171569320562,3.935608292190702,3.798997476550475,3.192154739211676,3.2075845973266497,1.472372815179221,1.0838265778537397,0.5614061425021495,0.2915615347808418,0.174630702549932,0.136500212304027,0.08888380068992392,1.6155121182871974,0.017573708616174032,0.013822651764051059,1.3419314822871113,1.2649770495386325,1.1956607039122018
17,7,4.027143186490838,4.027011447484727,4.018515344637867,3.9973113272049074,3.9327001313583345,3.755150503810176,2.6467353877723165,3.033773783849405,0.6112201223555308,0.38519798887920764,0.1593064449781176,0.06891895900827949,0.03772204229496815,0.027873309198125546,0.016532011004915748,1.4341398684152504,0.0026942139123848014,0.0019054668263158991,1.174853645562556,1.1022866332519692,1.0631635873645435
18,7,4.037496736251657,4.037709698712632,4.028933299098388,4.005677501323343,3.934804535126772,3.7130715042946045,1.8132720011452341,2.8253754414811403,0.22176228087939548,0.12131752552824003,0.04373360295447554,0.01744017272394397,0.009933734468210501,0.007168516041931296,0.004165696317837749,1.3006836026810968,0.0005716212888953883,0.0004359289624808836,1.1564420107654263,1.0400549466479798,1.1064210758618982
