Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,5,2.9062332445295445,2.88495004477377,2.8634729952280207,2.841804417499491,2.819935387119304,2.7978450035748916,2.775499739981645,2.752852897046456,2.729844193777557,2.706399536026752,2.682431012987521,2.657837180558984,2.6325036980893204,2.60630439019715,2.5791028066105652,2.5507543485223207,2.5211090180469515,2.4900148264078843,2.4573218654912794,2.422887006413523,2.38657913925715
2,5,4.680746266175806,4.608525513715369,4.5311786932658915,4.4481904183728185,4.3590766107752685,4.263443305464118,4.16102916568242,4.051757438645863,3.9357936675748983,3.813549102289203,3.6857300550606293,3.5532161626476237,3.4171325896672564,3.2786660537318535,3.139129979324789,2.9998235639728557,2.8619985423429504,2.726780720990082,2.595168538573845,2.4680285350606526,2.3460383287923854
3,5,5.697135705452683,5.678900581306326,5.650389080672837,5.608331303247669,5.5494463995566194,5.469934949779846,5.366845826200394,5.238215154282185,5.084316127860536,4.90789390800757,4.7139627191864575,4.508867361549282,4.29932850922401,4.091603454208354,3.890864184369626,3.7005873227584023,3.523453796808109,3.36044836321328,3.2117167758007485,3.0767847004066313,2.954604657392645
4,5,5.853246297035906,5.829191204317349,5.788527434816065,5.7261293455040825,5.636818240403541,5.5161830445359845,5.362097233848229,5.17571562215094,4.961956254025142,4.728634363793647,4.484719903866133,4.239998526855629,4.001788084181516,3.7760780653927335,3.5665132274475035,3.3745307406011325,3.20039025507031,3.0434218333970993,2.9020632674093174,2.7743309820823256,2.6587061502088125
5,5,5.815942036940505,5.828407785929735,5.832430997544601,5.823238678464277,5.794813968290004,5.740102057118814,5.651599786739309,5.524401316122615,5.357980444391096,5.158289894837481,4.936219400052737,4.705002651744418,4.47615550068492,4.257854219976697,4.054509281811935,3.8679596791459447,3.6970564666180588,3.5411744983184232,3.3971372072345307,3.2647194182540384,3.141527586983987
6,5,5.854112691776358,5.856141763519609,5.8514424685485205,5.837088150626885,5.808556004348163,5.759134682660136,5.6795452146962715,5.5598752922528965,5.393520756816246,5.182749359801467,4.9388547882784675,4.679404865276982,4.420976015604375,4.175414988064458,3.9491939852909193,3.7454701617907817,3.5637749429791765,3.4029102099470387,3.260888435158101,3.1361293566492923,3.0262262002652047
7,5,5.826955544543299,5.833182211255165,5.8334957776387935,5.821567254796184,5.786931009735957,5.714351436073354,5.587140728942277,5.39451919597541,5.141863430845534,4.851837967042263,4.554986653879503,4.275872866204783,4.029489773251313,3.8217048336639508,3.6509404193632093,3.512529852241681,3.400788163834854,3.3095421589152276,3.23358488451239,3.1684015280067834,3.1101528907857228
8,5,5.86513309231452,5.87086854807154,5.867651431819996,5.851594394668985,5.817413957667101,5.7580713667278625,5.6661942838515005,5.532691659983554,5.344966201011693,5.085180291332303,4.748377378152955,4.362654909839861,3.979539971088122,3.639781859675222,3.361017638046708,3.1446371402427955,2.9828430825479946,2.8656905428457633,2.7851153901339885,2.7313338643973393,2.6975356138679634
9,5,5.886102169050926,5.89320855990739,5.887797792134065,5.866124435656324,5.826457800591729,5.767933019746541,5.685985100095146,5.560063757701257,5.355495070686258,5.058343957783556,4.706510524681088,4.356412131797653,4.037635753829714,3.7531625979547134,3.5018415904210047,3.282456428532364,3.0948119788604855,2.9372363286933303,2.808273336585806,2.7035320196105785,2.6206350078408294
10,5,5.818652554904145,5.81396774933472,5.800613682924454,5.775244441464008,5.73487706402863,5.6736706033448145,5.572549272329465,5.379866521869862,5.027927601668461,4.53437218843435,4.02295002165565,3.6006955068806823,3.296135335301457,3.0886878940075064,2.950459911620324,2.8558692941469364,2.7886567644257503,2.738334957703826,2.700616501520084,2.67116658806391,2.6492120020014474
11,5,5.813221305351477,5.796171878749442,5.7701365529424224,5.7352719830281575,5.691817373128018,5.6354048171920095,5.549008924984612,5.391669059662903,5.1211500295330605,4.756455451792761,4.3842200701658856,4.072927618620779,3.8365271923244375,3.657400386819387,3.514077857189409,3.389418310984241,3.2732305727648807,3.158598599767251,3.043363875755369,2.9255396970229315,2.807134523572804
12,5,5.851342975377232,5.827021381079638,5.792563291555375,5.748439773139795,5.698979152161815,5.651372818539145,5.605768933796623,5.526788780733689,5.325772557066718,4.964770942991717,4.566680038571947,4.257862505012934,4.055605731378095,3.9203557041530215,3.8159785788994154,3.7195183724100676,3.6218983141695733,3.5205201780421125,3.4181583140872633,3.3169210845034423,3.2214960485732176
13,5,5.847115689036509,5.834383982912628,5.808346867862956,5.766423895584022,5.710090206848181,5.648001659655128,5.594937938484861,5.559923030850248,5.516695607378794,5.381465010271712,5.113148734808881,4.809207511031296,4.559778000249745,4.374885411417367,4.233685917088222,4.113751381304604,3.998407150310785,3.8758306588606306,3.7390782730160956,3.5858514254350458,3.4182945645486202
14,5,5.864346228040688,5.852962595160905,5.828031954898124,5.791205839465452,5.747325437286006,5.704337860739963,5.668059120753725,5.630861136158162,5.567663226205023,5.470375098538635,5.33569830167072,5.075260811899529,4.681948428795327,4.285192460185023,3.950612439564416,3.6770340313422563,3.444240352185719,3.2343238076519114,3.036540818689407,2.8443122932034113,2.6589960063467855
15,5,5.840523842683917,5.830039408032652,5.814569375610706,5.791337904129904,5.758313946180027,5.715732649109641,5.67059142978381,5.632986606711165,5.59566172692918,5.505058894640921,5.302147926382499,4.998127035692069,4.6436305286692825,4.300118965563749,3.9954320643489774,3.7357639489987404,3.5172199303943232,3.3347756676217433,3.185386672522246,3.068387224372183,2.9826555232552745
