Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,7,3.2410529089096816,3.1933935673891685,3.142845671987313,3.0897712706584954,3.034540972433461,2.97752483785306,2.919084656915264,2.8595677558840893,2.7993023117130154,2.738594213994352,2.67772494988651,2.616950793428711,2.5565027248313705,2.4965870299777007,2.437386378477675,2.379061230241313,2.321751448309601,2.2655780219151267,2.210644826922874,2.1570403702736907,2.1048394807516937
2,7,4.58293458898245,4.477735921670675,4.372606782359614,4.268082732097154,4.1646858393303,4.062918826435821,3.963260351367153,3.866155123480958,3.7720343522551762,3.6812049549585812,3.593999506775104,3.510664162549319,3.431391032446614,3.3563013916969355,3.285458272118553,3.2188703796728566,3.15649305219011,3.098202082545345,3.0399760206827846,2.9903506983445993,2.943905969982197
3,7,5.791942898579622,5.568437245858271,5.338033218996936,5.105671941406592,4.876053999664795,4.653293169016903,4.440743790350779,4.240905729216927,4.055401581350199,3.885381793480038,3.7311339921346356,3.589211136620679,3.46686651637708,3.3586350217823595,3.2636305129570253,3.181018175557291,3.1098182333941713,3.048977109537614,2.988611279022341,2.948007955700579,2.9141411809622233
4,7,6.800248670545694,6.4900725644469155,6.165205993079461,5.838544742946182,5.520912250191095,5.220336194052714,4.942025264126798,4.688712277626033,4.461171878317746,4.258585248324983,4.079921687137887,3.9048024918669,3.772595658813102,3.655606080566622,3.552775239450227,3.4624853397829924,3.383570253007554,3.3154872978022687,3.2482835623763173,3.2017207994563157,3.1629785682660216
5,7,7.742700578154223,7.359274010207386,6.9257737188464645,6.477275862754517,6.041786073556038,5.637167378983265,5.272321946965848,4.949380793162004,4.666250220692542,4.4180636758987895,4.200342441130726,3.981099115733976,3.8195609336016147,3.6724497141808885,3.5392041395762686,3.419481621441421,3.312829154041411,3.220549185251953,3.133859637605852,3.07232854081838,3.02509651615618
6,7,8.40634332997161,8.208050998400658,7.9014465913734,7.496985986574742,7.02812400590475,6.532907965531783,6.041757226852893,5.574901893438505,5.145014163364249,4.755332133911265,4.409278597255569,4.060123548948262,3.8102393043594454,3.589393623623526,3.3946989152118,3.2252570768261974,3.07638571438507,2.9462944546219454,2.8160978822649074,2.721598179344469,2.6370324703224868
7,7,8.55546650275981,8.477091265935575,8.301038717358159,7.981883158163919,7.517767211232467,6.9649688376591925,6.396472644295738,5.863941484203789,5.39224962477009,4.988077531953766,4.647582804115168,4.311257102413122,4.092566949254545,3.906342970633596,3.7469387599996273,3.611917456797153,3.4955376955459836,3.397512017542378,3.301585368840942,3.238125423756057,3.187355591516434
8,7,8.61113386084025,8.578995367881832,8.466638369969171,8.19901307481434,7.738650530341686,7.154457071083314,6.559757078211184,6.027786552413961,5.583225081935727,5.220402288930185,4.923817552640712,4.612538972938619,4.4283581205804365,4.263405219721712,4.112298313955099,3.9720878441424867,3.8404735524427145,3.714520384837009,3.569043673848458,3.4549060636514124,3.338894189479373
9,7,8.62441249181056,8.597292973383636,8.49478262087597,8.206504695672944,7.632583691655277,6.855939718160083,6.062222800488383,5.3656266792194405,4.798249675071612,4.351992652684752,3.995594303045479,3.6603502167278195,3.4615871367327826,3.295060430250842,3.1585600041592077,3.0489353645209447,2.962668679674295,2.9006332875392364,2.8619879917989746,2.839718782483471,2.834632270599931
10,7,8.592275321610726,8.585313345416845,8.555448217320519,8.470130824718384,8.258923232222395,7.845498942198656,7.264021587736735,6.65492957199626,6.124075925308228,5.702580232566118,5.375899816362182,5.044265875653315,4.876303873512545,4.731201483713043,4.60174592204781,4.479091956243145,4.357807986117486,4.230335028484642,4.070921776809006,3.9295774764040607,3.7712168206287164
11,7,8.62050173916301,8.61805624395717,8.586188487005208,8.470160066412708,8.135289604805697,7.490865049835173,6.714132577639598,6.030416131586454,5.511224419065055,5.138240453870335,4.854891227362795,4.585928926786939,4.404872153578584,4.229398637279676,4.058388269224915,3.8954639754051352,3.7420915997988464,3.5995625786955814,3.4400210795213315,3.323208317017177,3.212439149062868
12,7,8.568308783371977,8.561691646801828,8.53276537980113,8.43972465452932,8.173417229249258,7.61040208977035,6.826452021884131,6.0316602798301435,5.342865060841912,4.790176704578762,4.352183885860781,4.024654993182988,3.7576007438294865,3.5446635080092967,3.37885719391617,3.249518082919491,3.1477905273724676,3.0696795406786306,2.999430864891371,2.96209811350917,2.9366268579432053
13,7,8.606341060887363,8.599791167457507,8.57246294280706,8.483539886000258,8.208641944699359,7.5762939089669175,6.677002601527317,5.79923636091302,5.081433906508808,4.542825910202845,4.137282111255004,3.820256270943905,3.597376274605847,3.4227870198352903,3.2871909634347083,3.17866003778458,3.092683366311657,3.025767453635621,2.9483374176447397,2.9276841253029806,2.927896215510422
14,7,8.615611541300638,8.605918974211367,8.574173971967602,8.48133683172555,8.200949949970799,7.560210325626784,6.688547107723725,5.869069272893634,5.1908926672313065,4.649180130023555,4.231840224579877,3.899894784881349,3.6823217649951356,3.519904903716507,3.398585741146234,3.3042726805419123,3.2271577761935726,3.1584978389372638,3.071272239163256,3.0063496280321593,2.9376385928050044
15,7,8.59995158598494,8.598990005537637,8.58234800476566,8.518407281054975,8.28928144466906,7.654332962856646,6.686859380929527,5.8284236495296335,5.239688171854418,4.861889899344022,4.60705222191515,4.408730717633505,4.279540350691925,4.165222426672919,4.057840573718181,3.95134077805205,3.834053783677513,3.707579417980509,3.5396291387517955,3.3901972449502003,3.234758685488698
16,7,8.618741225426762,8.61725007562479,8.596194336822633,8.521865594360072,8.25625208028513,7.401028044746932,6.090460848399727,5.054367422122689,4.4215262488041125,4.04980979529593,3.8241815342060446,3.654715827955378,3.5664262921554255,3.4967882604058533,3.4405141224285254,3.391975055635351,3.34183857780017,3.2884721661170837,3.2147727825890176,3.132733361417273,3.032765464234085
