Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,8,4.295829269718669,4.271260711174707,4.242324940046238,4.208893630401533,4.170890218953673,4.128294820443607,4.081147189499794,4.029547512539735,3.9736549910462893,3.913684357770229,3.849900623585614,3.7826124693874283,3.7121647422785853,3.6389305366342297,3.563303273519256,3.4856891251658593,3.406500032336308,3.3261474681724796,3.2450370188952378,3.16356378688751,3.0821085775109385
2,8,5.906939474039585,5.76532389647886,5.601894670284484,5.418485197825929,5.218190893255752,5.005048054252999,4.783605195348816,4.5584878838773655,4.334047651681421,4.11411936193255,3.9018733463255217,3.699804668701504,3.509663410339715,3.3324195303824378,3.169018058253232,3.019077140752352,2.8823581126593685,2.7383628466320653,2.6312333955065608,2.5335903610791375,2.4446351597467797
3,8,6.811855839562841,6.401691937849618,5.9905301083829,5.589850002998602,5.209079585888333,4.855516301183485,4.534222440415273,4.2479397904015395,3.9682074720747695,3.7606146929923683,3.5812799373332767,3.3967983634955923,3.2734542687842225,3.163681780856111,3.064826400840571,2.974600890890785,2.890937040599452,2.804770711576481,2.73194664612389,2.6608640867790894,2.591109769067802
4,8,7.701652175685413,7.155548310816525,6.596872220140493,6.0490729238356,5.531298571880225,5.057501241019604,4.635680016673336,4.267949107690839,3.905822039001812,3.6543673489236266,3.435638387143471,3.2299889811085936,3.0714504215362597,2.9319313494615122,2.8096641199185095,2.702742462323873,2.608874537131087,2.521716441507031,2.452333558441305,2.391618216713758,2.3383728083690776
5,8,8.68219579923988,7.99591528144457,7.2473749652660056,6.5065426852640025,5.820723409002875,5.21607848105821,4.700938037998192,4.270795533717744,3.8761049991963175,3.5986069971889414,3.3616085105469957,3.1477081427982063,2.9795266979011066,2.8337589226990043,2.7066700031678,2.59606625454529,2.4986204375190235,2.4028444594390246,2.329706170052674,2.263651322028323,2.2037266545169847
6,8,9.123585516328772,8.349536702281581,7.467538164937108,6.625108906609992,5.897966205140256,5.309473694018943,4.85046378819231,4.495250730389299,4.169592555319615,3.9593810760346657,3.771693205402425,3.5826258102628326,3.4287650350774146,3.2827045883141848,3.1439131993619105,3.0130938483350196,2.889381642118218,2.7566732614425455,2.6536927217956943,2.555855742617448,2.4638144980015175
7,8,9.895330553985879,9.638704729261208,9.062382337339175,8.214090799627735,7.30068780689678,6.468493483094538,5.766268451593974,5.191176461129181,4.679533162507711,4.317445741617908,4.0109667606479675,3.7273849032360067,3.514864823981876,3.3297819042483927,3.1676089290444116,3.0253384616675407,2.8995443775286733,2.7677181571192753,2.6746186326824377,2.5898816065239507,2.512889387512738
8,8,9.964592643977182,9.797419803969577,9.207801717189652,8.089524993511132,6.846645591888082,5.782898676904348,4.966746512284241,4.3676283011798684,3.874214182566483,3.5757792358707543,3.3383894661251845,3.1222789150377936,2.964375596630448,2.8218415849235585,2.689214125063348,2.564106262552063,2.445110327757809,2.3239050676466153,2.2156581971523965,2.111123684536035,2.011068820063626
9,8,9.984439528745567,9.895031070567812,9.447735048655836,8.364292360265205,7.077248619126947,6.015036454542937,5.25390897721492,4.727949323968766,4.2972194221356235,4.037221450051792,3.810633954540354,3.5907840079497397,3.4007860859354344,3.2142906553045805,3.0323883276448633,2.8559445861538464,2.687139764823921,2.518770039601405,2.371211264648738,2.234808285978645,2.1104480533471435
10,8,9.988007594898052,9.954606179810527,9.7217265245281,8.828041326628227,7.462989818298065,6.282696763441343,5.434742760137534,4.829720515947876,4.296214194823386,3.9362746549760477,3.603503878095444,3.266825414308108,2.985749854071091,2.724850738589363,2.4866596010107114,2.2744624050387436,2.0883556480568712,1.9091060719621875,1.7753089781194233,1.6615160134513647,1.564477764261939
11,8,10.00158653827834,9.978522222725442,9.82695626016029,9.19204554286042,8.036810126846332,6.984658174304768,6.264404631654386,5.792863259303637,5.39833650090805,5.173897607563374,4.976494007177171,4.76560217734426,4.610111331263247,4.458833105261573,4.30822533510377,4.157336093440716,4.004719183136603,3.8384066178857226,3.6813282261855322,3.5216813719209212,3.363620965801299
12,8,9.982413119328053,9.961217956365617,9.822628793223412,9.188707539416454,7.969321250582196,6.876512489419227,6.150982047141953,5.6814256822406,5.280112487148071,5.063065742524879,4.878206969790329,4.688742768849914,4.545719628369121,4.3961456087551625,4.2323228450320745,4.040218696874422,3.8212758154003152,3.5514867818553073,3.306939625281203,3.064887341762843,2.8363039270166857
13,8,10.000985681788228,9.985307992339681,9.88486711222224,9.312841061317856,7.937923508150205,6.632204100610363,5.744210220354566,5.1406480828474095,4.609765612247764,4.292303268368755,4.021198873740091,3.751460651308834,3.5651676556934055,3.4043520845025514,3.2711266527277156,3.1621281717952265,3.0749356004584154,2.9869947691587337,2.9403527216082406,2.905079560597497,2.876803829517323
14,8,9.988051968747206,9.973276544386634,9.859551375877375,9.132119533823753,7.510323016824821,6.118765594970595,5.226601106719916,4.6418915625423915,4.126475566330498,3.850904228582929,3.625788928510248,3.4112745502676685,3.28266521944874,3.1818263028957636,3.11040078438471,3.0616380116192574,3.026777614925325,2.9774182898133064,2.9554965967611295,2.9259695533871244,2.884215681616642
15,8,9.992122944698377,9.978954583035456,9.875679210450274,9.231124149271066,7.679364980094829,6.3179729117571615,5.490821504544595,4.994493917414033,4.603806637808688,4.407171462127828,4.248501522488502,4.090976410761672,3.9784350707684784,3.869462416814211,3.76408226017484,3.6627793756939138,3.563241204192667,3.4540752203103557,3.3657044252183077,3.279130616168142,3.1951849645383477
