Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,6,2.215942521477463,2.2459595243882693,2.2706731039879733,2.289538747699649,2.3021725708763565,2.308382350928174,2.3081825575873665,2.3017906821722294,2.2896054510912096,2.2721706346146116,2.25013025693114,2.22418162412829,2.1950318035052785,2.163361505126227,2.1297983571233536,2.0948998356476447,2.0591448816255533,2.0229325607403488,1.9865859082929183,1.9503591985072644,1.9144471452830798
2,6,5.87327069424093,5.800667616092455,5.707273443916133,5.595749842235855,5.469966247690624,5.334577958726459,5.194026809117541,5.052401981493541,4.9130372626923915,4.778496633708061,4.650599956717547,4.530415556119935,4.418533742824771,4.315117671083709,4.219961473475461,4.132676388031597,4.052673252688804,3.9613115503702505,3.8982857794390346,3.8392794524643783,3.78364873549947
3,6,6.961103910253508,6.871594571979287,6.743449274739853,6.575034579810635,6.369609277363828,6.134919321638144,5.881016522095045,5.61808297502396,5.355515115377963,5.100248404254239,4.857229318276952,4.629442003186254,4.4184245668565225,4.224449445538875,4.0470345471485984,3.88565195003017,3.73919513685635,3.577730488444898,3.4648520312668087,3.3608942671833213,3.2647809933419327
4,6,7.0790832911663335,7.003825654143047,6.886563907498121,6.71975801878724,6.503278537113509,6.245351353456542,5.96115927071135,5.6669660419260675,5.377635758496368,5.103055246712823,4.8496684299052895,4.619556329455351,4.412708460877849,4.227106236764695,4.060212391789538,3.9091281476372552,3.7712836672017134,3.6216335601696295,3.509013946010023,3.4014118931687958,3.2974071324758403
5,6,7.205615020534715,7.170128002573704,7.1019931453503355,6.986624194240616,6.811308193849971,6.572493809470836,6.278621168148909,5.949067864946532,5.605261017638835,5.26570877825186,4.940051644126011,4.6354038425079445,4.3532785329001475,4.092837535781986,3.8516934143991812,3.6289639469176556,3.423162011089459,3.2082812637274656,3.0361433159625477,2.875749131391824,2.7248914276265896
6,6,7.154232511781279,7.143092108335852,7.101303277961111,7.003905432420886,6.820415255363093,6.5290869881521925,6.13922807604127,5.690248140703653,5.2318015142091365,4.801322217546444,4.417442637563643,4.087435056029056,3.8085398833449418,3.574832156216196,3.3782860426659616,3.212479732660155,3.071004521950993,2.9378235066752927,2.8301382665765473,2.7325601854794677,2.6413058061405263
7,6,7.204310974114487,7.184817979857236,7.138187954136189,7.02700878593691,6.787444480766604,6.370426796879062,5.816399281702205,5.22668536804888,4.685174060647248,4.227683525275252,3.8573357200878617,3.564898729619198,3.334611345156899,3.1526193792120614,3.006542356462167,2.8878714668246737,2.789307979960931,2.703095782970387,2.627767016092763,2.557996750227093,2.490161585012729
8,6,7.178722900418672,7.176085755820476,7.164325506442136,7.132023127658704,7.054083295637186,6.8939558196023665,6.630003809923325,6.290377469652296,5.937029185912613,5.616224157019393,5.343275166794463,5.115185408614003,4.922793672451654,4.756401223259947,4.609759087680939,4.477595896675854,4.358165161427348,4.232842631773238,4.13821215602833,4.048831581663038,3.963512700028275
9,6,7.243942565894206,7.249708730570098,7.241296909326831,7.201713152981674,7.090895524741271,6.841422418015384,6.421173587072972,5.895884450610963,5.3733835421006315,4.909744448176187,4.5154962770117395,4.1802480962992705,3.8924337498108184,3.6435305353680336,3.428856801657888,3.2443487452554307,3.089913394540544,2.9160748602271434,2.8263687320813573,2.7601500210465915,2.7144960699710126
10,6,7.225574026928235,7.231696551747039,7.223899910918343,7.186005981035335,7.085597903455649,6.864728236154552,6.476797597626682,5.968658479921268,5.458137858406162,5.020625622339014,4.675862865861686,4.407428036204957,4.196208950689966,4.019022123623361,3.857529575408995,3.695508679196454,3.5262034579031396,3.3219595008817997,3.154931338048792,2.994374205905609,2.844823220146094
11,6,7.174259579349974,7.182392047860757,7.182133702483644,7.159066351904403,7.081941277430907,6.889315907271364,6.517908048899216,5.988524257701297,5.413358600112381,4.881910817195688,4.42279737117255,4.03436992578089,3.7078188679896296,3.4355013063067217,3.210909677829424,3.0286761145287344,2.8887424659333982,2.750465666454744,2.692805909766861,2.661247563116978,2.652982936602706
12,6,7.239116424988438,7.227823475609749,7.199515870624152,7.146874810322657,7.05073414365999,6.866300432490099,6.541329508793651,6.113750866821805,5.687618956109797,5.314605710038191,4.979962396701104,4.655353879927939,4.3307458062583,4.018653753467029,3.7355912326735417,3.493588784830989,3.2992971336947234,3.1011036861536905,3.0161767959839314,2.969337155831103,2.9562614969128864
13,6,7.200590294160055,7.203779560817848,7.182608559864535,7.1187912370060635,6.988254646034316,6.7422715196712755,6.3183134239938665,5.763968464120327,5.239923003132809,4.837416796097011,4.5452668792305495,4.318619676244211,4.111352970593177,3.899055668189285,3.6688569241932463,3.4276707716513344,3.1885229586283312,2.9705047563294324,2.7809463281733753,2.625921575939728,2.5071045516219517
14,6,7.2056892153977135,7.198104849247329,7.172211790141052,7.114011001668165,6.995083484487507,6.7615327181849665,6.379394006135971,5.911336530727461,5.441025010457358,4.984386985327949,4.553212335192236,4.173838955559726,3.854846476735514,3.586139488729618,3.3459176742403853,3.119640216129371,2.900520960422607,2.698240208134003,2.5254605700473576,2.3804581667329665,2.269213349885142
15,6,7.214233246045089,7.206668004612859,7.175226222012621,7.100013752538789,6.964733884662813,6.762910413243544,6.462231135291471,6.017101955408204,5.51694181900465,5.105893456210643,4.816430349545269,4.609491990251432,4.411124927751778,4.136864572302122,3.750956528592567,3.307513377446998,2.8859933208445785,2.558144097048699,2.2674967707629596,2.0442433551510693,1.8739419058458118
16,6,7.249393237558625,7.238295340378995,7.200969491605602,7.12204983823182,6.992062080866862,6.819569981893444,6.608960919597242,6.326909926409588,5.988967050929199,5.667978439021318,5.378291666060419,5.076480337150054,4.742333753732768,4.383103061129064,4.035060786209872,3.7258138025294145,3.465354699357387,3.256931218293933,3.081261029435725,2.935922985895932,2.8144405913356376
17,6,7.247794310431916,7.237142225298087,7.2099193738714735,7.145528552266723,7.013882293818866,6.81339641894092,6.595224995939838,6.384942072448244,6.134960300499876,5.854530500083782,5.596367793923534,5.328893090227535,4.952639978743483,4.46634749105856,3.990598507417659,3.6094119611849256,3.33298064398514,3.147630220952983,3.0295349343025357,2.9563830061207743,2.91848015143262
