Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,7,1.0800145401336432,1.0730521197970835,1.0506991953667466,1.0337832255022246,1.0153803597831548,0.9955211239246529,0.9742498225173143,0.9516247061307115,0.9277178675730217,0.9026148509331166,0.8764139663109825,0.8492253134833105,0.8211695286405087,0.7923762791789136,0.7629825417103019,0.7331307073484636,0.7029665654049201,0.6726372214413221,0.6422890079061816,0.6120654452234349,0.5821053082777108
2,7,1.7907170159752879,1.7779454338650948,1.7075847663070267,1.6616004338958605,1.613432504291828,1.5632400163770652,1.5120448342911175,1.460407205539982,1.4086576785243485,1.3574564005708065,1.3075302752391673,1.2594402727769802,1.213546849946108,1.1702189123008293,1.129759742987612,1.0923306092886915,1.0580851606183022,1.0270631242303219,0.9992441207051492,0.9745494319136655,0.9528515318391493
3,7,2.7893833677098794,2.7821612514475738,2.678828080112031,2.611355654835139,2.524693353152875,2.454503708005414,2.3256197577941102,2.2663783630832683,2.171848805671361,2.059736745616338,1.9849639494614948,1.891364958428234,1.8033719887759472,1.7151314910454316,1.6324037863519012,1.5591668040280897,1.4902921254063943,1.428503416237747,1.372051220923187,1.3217445647212254,1.2773930117734893
4,7,3.203083215000968,3.1947161546149525,3.0512772894834153,2.9493183823256066,2.775429914717754,2.699610786366349,2.4545960935176914,2.3827427424547656,2.243083869110561,2.077605679226347,1.9924978606136334,1.8740397423740653,1.7754649026320217,1.673333713850807,1.585728912666408,1.5174852778263195,1.4530636056379806,1.398261528843551,1.3482315406936063,1.3037752974840873,1.2641340746274476
5,7,3.8137567769096825,3.8091068345686137,3.6801649494917146,3.572394731058493,3.199388275478001,3.27752949818835,2.7341813119712315,2.77785516493646,2.6277220429524237,2.379284468195757,2.387810289995703,2.2489728426213462,2.142759738827617,2.0119603778706137,1.8988195103449157,1.8239631643557779,1.7454969239420757,1.68043494043595,1.6174840251369462,1.5615319715105633,1.5126573893803335
6,7,3.952049275143828,3.950546092844993,3.8592535556266006,3.7702811891892454,3.304694171000752,3.4879049692346853,2.7902126708757784,2.873510212164381,2.7001754831009115,2.3801444497534425,2.410768760700217,2.2207710294907037,2.066650523272645,1.874905845964412,1.708367821593019,1.5964873760188092,1.4805427053104114,1.38735231487151,1.2982253882121286,1.2202681429730502,1.1535726495491816
7,7,4.016434885934389,4.014012593901731,3.959670700321711,3.893422666951108,3.38716409009161,3.6397856889854037,2.834806505725203,2.9469307079579927,2.7569136370118494,2.405221532864237,2.4618084206208426,2.2719266578784607,2.1313821531480577,1.960181255246006,1.8180528312189304,1.7432629198240372,1.6627150813798175,1.603664830118232,1.5484895064993913,1.5021779707699776,1.4636641916582556
8,7,4.027163228217029,4.025276716455264,3.9950545682629586,3.9523695988315555,3.4532299467453638,3.758020723459659,2.9158153761522083,3.05005038674671,2.8669090104388104,2.5087531991951413,2.6002091445832543,2.4052451881202157,2.2699329996593227,2.0852612972845463,1.9342512886143464,1.8499885910877494,1.7538069390888225,1.6766805075575533,1.5979503997572788,1.5248861815265713,1.4567409111004797
9,7,4.034605707134052,4.033477098123887,4.021932137838676,3.999138082309071,3.508395468270611,3.8652638379144975,2.961970720850649,3.1403043611226664,2.9597823031839874,2.5487930782029125,2.68770286185302,2.4648751821861823,2.302021694625948,2.076473945350246,1.8888994331409634,1.7892384496274805,1.6772657725074582,1.5930195312981061,1.5111226439341323,1.44018689159521,1.3793282728406704
10,7,4.039300037241282,4.038699884983959,4.027859261657083,4.008662161247249,3.5179749677566723,3.8958816584684057,2.96389582945493,3.181139357747115,3.017641510037153,2.597169076138746,2.8012883875655157,2.60442235829293,2.448483585722301,2.248606818611547,2.0967430525046677,2.015139064524696,1.9223575212989192,1.8503146678380114,1.7697925372997594,1.6907650592983925,1.6126321426219314
11,7,4.039177570773394,4.0381943079686335,4.030041225817184,4.010880018877869,3.477832055611751,3.884284527987451,2.8952247910839857,3.1369989921049055,2.971731981623877,2.565408851885048,2.7663115178947737,2.5697636775284054,2.3616045707255884,2.1643483767400378,1.9888222250523289,1.8894837413548056,1.7730282078711503,1.6716941496971562,1.5694350779943482,1.4767109570001185,1.3915118365759116
12,7,4.034130161030829,4.032227787104714,4.022161597092284,4.000597594220675,3.4787638866426343,3.8608020606690747,2.7086589514506816,3.0444714512159026,2.8472458944398893,2.3007464780652107,2.5604888943413298,2.315103121004117,2.16227252382185,1.9015217181303545,1.669437340590358,1.6711950973385488,1.5531085803076186,1.4613789544529179,1.380058139547343,1.3144424291541714,1.2612163639980578
13,7,4.030410618538759,4.028082176773902,4.018376282070408,3.9980607511639614,3.41611193262836,3.8342701479841663,2.197880549030512,2.6704136475166314,2.375578768992205,1.5700548073440943,2.133945164197152,1.85442843560488,1.7886423801254034,1.3192696695302994,0.9789939134245296,1.3424195567781714,1.2653980316624813,1.2025415870845937,1.1457271158919637,1.0981163387686432,1.0573384782487503
14,7,4.035404497582311,4.033592522943696,4.025036917672438,4.005186460176984,3.3588196289889596,3.834869347857722,1.539651573698112,2.0567593649686167,1.695416795600076,0.82302697607155,1.7259828774935557,1.4517838353664234,1.7081804013307746,0.7729620968901967,0.41399817134577277,1.2513384084377197,1.2191149023320176,1.2153346615619962,1.1765989217032622,1.1467118982283488,1.1231558823593641
15,7,4.030325803830387,4.028373559865982,4.023887251907524,4.008882967337359,3.2093258106962406,3.8457418201262867,0.8428265322603704,1.2894211947186645,0.9938889878384153,0.3902738781653885,1.3450674405202292,1.119240991119774,2.05491905851929,0.3823462531888811,0.16768270020612225,1.2409995584554208,1.3184924428484668,1.5693951954678473,1.5058090555988082,1.4314796852682452,1.33997492276382
16,7,4.034738289224481,4.033577225966757,4.026140246169745,4.006741390029122,2.813617929971861,3.8112164318291417,0.34466277090524733,0.543663259332971,0.35421181400582424,0.11261073390225301,0.500225130402234,0.3546259765097503,1.8359312671716024,0.07194381701101703,0.02518932320186054,0.387527894695872,0.4720379266041676,1.1952444250815568,1.1860317801965006,1.129498121308892,0.9630731098121624
