Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,8,3.190777933772681,3.196135721325869,3.2014443840057276,3.206607793077396,3.211491907220075,3.2159159663848293,3.2196428319388115,3.222368928167941,3.223714567272415,3.223216003596495,3.2203207618913114,3.2143888898350643,3.2047026380325137,3.1904874334323003,3.1709462540225575,3.1453079264784245,3.112887237249699,3.07315141478323,3.025784351622377,2.970738108418353,2.908261888644896
2,8,4.777425523225037,4.618319977735157,4.4545026388171305,4.288894135042355,4.124073018170982,3.9622376436173488,3.805202228157335,3.654413409027499,3.5111011492751616,3.3758081661211103,3.249186426112787,3.131505953631171,3.022836673198432,2.9230753443062403,2.8319654690269225,2.7491392260232943,2.674150801788702,2.6064788402026684,2.545563643795713,2.481998004226274,2.4353737046171973
3,8,5.926787415310495,5.6278000895082725,5.330784159883336,5.041099638619305,4.763361981851464,4.5011851714008815,4.257111606809522,4.032632425370985,3.820035830713315,3.6384653303449834,3.4750581580304973,3.328976707483766,3.194339531502812,3.0802201258066315,2.9784717741798974,2.887651750365188,2.806459918783882,2.733517733605108,2.667625347602857,2.6033062447157715,2.5495178592424845
4,8,6.90578634730952,6.476552291482996,6.052870123693434,5.642544378169608,5.251801214158023,4.885157954137275,4.545391888339166,4.233679886263958,3.935568020799357,3.6844929667079174,3.4568692413808106,3.251081019300513,3.0598259446939613,2.8960396836170035,2.749019162806485,2.6171270476159934,2.4991052452279128,2.393694745823259,2.2996935553249833,2.2116299884632777,2.1382536004693873
5,8,8.046233504132418,7.512513747810505,6.99374445797326,6.512799237868281,6.081168104566636,5.701621420935317,5.371051291505421,5.083164162725823,4.801286858887785,4.5892838221813905,4.3947975011704274,4.214977732284166,4.038477541649407,3.8843942124948296,3.7372137706324433,3.596594651754545,3.4619487886294897,3.3328471160352513,3.209477836271904,3.0877981127448564,2.975627633358728
6,8,8.887827284931157,8.25044772325118,7.571241102078224,6.923064362575655,6.344034950205093,5.846064662427862,5.42572892843023,5.072230468293197,4.738142621862822,4.495439937505741,4.278028039430624,4.080442740720242,3.885897491535576,3.718852402091795,3.5597963044408734,3.407634769003158,3.26273845016318,3.1249283459659134,2.994336350956542,2.8604359408885576,2.7470470977835033
7,8,9.336883619314612,8.669260011130783,7.84720018212142,7.014156808227658,6.255728684395725,5.604909376560769,5.064911723917353,4.624938700715503,4.226737245646026,3.9608870732272594,3.7431816587065856,3.567125821835227,3.4113053346529054,3.305307897843147,3.2208180228186047,3.1537816551548037,3.0994072063757,3.0542230701487187,3.0149608090313578,2.966628516077091,2.9297569614774344
8,8,9.613383741670711,8.843631940897957,7.710184248993545,6.560417591615897,5.575412305366236,4.799982175816029,4.219968825610588,3.7992348226680215,3.4559116412490525,3.2634059029890627,3.122083119321876,3.0178042615579463,2.9252427617169747,2.8707475131434625,2.8236369742839265,2.778963690608028,2.7326253558643363,2.6815277223780263,2.6244296268902376,2.558504419315111,2.4897693064014708
9,8,9.823670460450067,9.188850715963996,7.925299080986002,6.540071879444889,5.372222417823143,4.500032100317558,3.8927236771786946,3.483040750125197,3.1665794227789026,2.997878011688919,2.875263029806138,2.7848442457104725,2.7106391135834116,2.6626810179087843,2.625888495841626,2.596500880793674,2.57263110399102,2.5526187195777053,2.535241947609942,2.5219120423574193,2.50897815553377
10,8,9.950542704357824,9.658641741435487,8.57465357147252,6.991722229294344,5.5991988216336175,4.58236218090742,3.890896855700477,3.421924753595108,3.062795762906112,2.835479553440635,2.6564734683547173,2.5138663042832365,2.39321903298087,2.3094873436829015,2.246879214725904,2.203528038816162,2.177924487204942,2.168768160043653,2.174062494528133,2.1946634656281123,2.2256218550983315
11,8,9.96329073943269,9.77046112172278,8.803485621791102,7.130983352501089,5.6525588998223695,4.630167632858393,3.973295473990671,3.5403525739416977,3.2104032668397093,2.9936602029848216,2.8185463753036024,2.675170420687796,2.54909998067983,2.454703052365839,2.3768374786445228,2.3140030036090855,2.265766089798889,2.2303698918519714,2.207578742887843,2.199357264608205,2.2023372781171617
12,8,9.98314805229903,9.838519023686988,8.757923521749365,6.7215334730679315,5.0189100174796675,3.914085252111939,3.2346203153289963,2.792442591596709,2.455632856444753,2.2306318908714218,2.049259067938795,1.9009441774778626,1.7754700989126417,1.6744100058695874,1.58922534590978,1.5180956195804727,1.4591804600354326,1.4107346517922739,1.371778818143056,1.3407092348209413,1.3190695157975554
13,8,9.994671349129051,9.939622619746926,9.216411539200484,7.184022764484772,5.388334389936031,4.283973672176742,3.641689876952148,3.240707720547684,2.950291890130379,2.763572369476115,2.6215258740948424,2.512135562821223,2.4242532041217864,2.3594494308958778,2.308581356630524,2.2687248790267485,2.2378583021568077,2.2138869384080286,2.1956144232986534,2.181143410424888,2.1714093280525835
14,8,9.988421602912531,9.970730291419958,9.674008433546438,8.077282691813934,6.250111449681582,5.128679662977561,4.490612001502676,4.094223818526584,3.7962289853446824,3.6130158796835596,3.4705063819753916,3.3556775447603253,3.2568587796604316,3.181840648951236,3.11739048508513,3.0605075181077512,3.0085357514406152,2.9593663028557184,2.9106860235202996,2.8579718318945373,2.8047468047437283
15,8,9.993370820609954,9.982610369163478,9.817907971006965,8.599035094505918,6.805537228875014,5.678177088185463,5.028329007381545,4.604827015767504,4.269967339876476,4.044013967844797,3.8560999760853014,3.6975793334450375,3.557339841965538,3.440977121263889,3.3395931337872726,3.246928002153097,3.16031617177026,3.0769045143795464,2.9946275680687946,2.9089983378219575,2.825944559789251
16,8,10.007779812064895,9.995896661685274,9.8489184764467,8.835994003501007,7.296528479411682,6.326166909523924,5.756182564367526,5.362093804286764,5.015683492576422,4.769919449400216,4.548231727561827,4.345415234229056,4.149236108693768,3.9815164664963576,3.826905213460931,3.6827601140835116,3.552237513039077,3.433095647430555,3.326111348692505,3.227475461264956,3.146581361683632
17,8,9.992414142195042,9.982643403884707,9.889174352626958,9.118700680593781,7.614637090417882,6.570286368424134,5.93063590770979,5.484611662307493,5.0975241216243035,4.828722625919215,4.5877960191480645,4.366549489727402,4.146913447566839,3.9604781606522628,3.7871112308370827,3.6270300270638507,3.4811471713047166,3.3492238542354005,3.231969932614161,3.120981811439426,3.0329540456931565
