Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,5,1.3125465111962802,1.3163884257666825,1.3197942133489455,1.3121119571594286,1.3093120838778882,1.305118438999199,1.2995053563356354,1.2924579972095513,1.2839732204751801,1.2740602947553303,1.2627414226939175,1.2500520508502573,1.2360910128169962,1.2208315054255874,1.2043878810160464,1.186846687129,1.1682035872142742,1.1487548225428192,1.1285290573866102,1.107649510277938,1.0862447463248743
2,5,2.0263854576298144,2.0358800107074453,2.043558643140373,1.987199238363972,1.9600777402724283,1.926250519871846,1.8862206811769704,1.8406711059745782,1.7833951509154378,1.736440755368046,1.6688153521091946,1.6211875620179466,1.5298095231557542,1.470208345164348,1.4120245141750474,1.3554265130941203,1.3334631872462728,1.2735460382770376,1.2246660759214878,1.1785513385036928,1.1444665188412577
3,5,2.373232053354555,2.3764396988173155,2.3780896355279912,2.2472503355515467,2.1779349357228552,2.096106038346553,2.003625136917825,1.9030678885439718,1.7852630251394186,1.6897723031106469,1.5628383229972405,1.4797692606437531,1.3057236723799994,1.2255039822560372,1.1490622085248285,1.0777672660786364,1.065893779476483,0.9841269729527435,0.9350834712496766,0.8942076306656905,0.8726059514290326
4,5,2.528726793963819,2.5242944277774115,2.5194554318945497,2.4060580148025936,2.33411191557979,2.246383870242999,2.1448589033227856,2.0327660403542964,1.9126608819610018,1.7932078035331114,1.6648560922487392,1.5593873454486826,1.3550998794612799,1.2773168818058342,1.1996348504471952,1.1189216746743873,1.1104363009701341,1.0347281597419655,0.97906933293243,0.9353102078007526,0.8991502977903889
5,5,2.644892560724773,2.6421559706005415,2.6369659557951577,2.5534250094360487,2.499374479073779,2.4319599491800323,2.351776505657909,2.260719474341826,2.1889022747131186,2.0584931243901914,1.9991691670484113,1.8522312824640619,1.7154671051208146,1.644935685892605,1.5658440622666954,1.4858760998671765,1.4235837882582218,1.3499104888626563,1.283283005193172,1.2284259695503918,1.1909495704734385
6,5,2.649298876530259,2.6466626496981718,2.6419553338865884,2.5886110241930385,2.5478832927675237,2.492615751398353,2.4205580772567123,2.3308193380403712,2.3030017589608436,2.105459539330269,2.1043680015720914,1.8485372394811976,1.7347246274912569,1.6160645136876137,1.4822853203348612,1.3633802076136494,1.2915296204643565,1.2055019097889006,1.1314308962843842,1.0623968523551706,1.0171071581333533
7,5,2.6618865576988715,2.6590737796766604,2.6534049961471435,2.6318971703683363,2.6039542968398335,2.5595933538414113,2.4933794658425956,2.4015309240325076,2.362632471917362,2.146022809630209,2.1269407301350682,1.843015392764924,1.686761878942585,1.5463761531917115,1.4245432511824767,1.3134418859956762,1.24127256319745,1.1602196412753407,1.098835047059978,1.034937338665432,0.987236706686356
8,5,2.6774228325646177,2.6777596403791075,2.676907094398902,2.6663479744880814,2.6508421302423972,2.6244823486370796,2.582374699801584,2.519377098628129,2.5062331213420124,2.3247335105512708,2.337839299323222,2.0751329353385,1.9359202201434755,1.822267257082665,1.7197851744806971,1.6295381265167737,1.5419561666256119,1.4462655154800472,1.375669126694458,1.3120983260382444,1.2665935947378877
9,5,2.6611963734832753,2.6617660122785765,2.659905238377556,2.6493381732726875,2.6405105319664632,2.6218006192970424,2.58455441327048,2.520430993398343,2.504157576331705,2.305998059392793,2.2968588423641934,2.029525444518687,1.82403140273623,1.6718623377255302,1.5126796753800436,1.4023525899875977,1.4447145128537227,1.316400450551251,1.2409592538689713,1.1864390536581102,1.1549359553793759
10,5,2.6501701899982146,2.6504215458367097,2.6484728587002984,2.639978784102558,2.626089210192108,2.6020888108936457,2.5606549088730226,2.492192779902826,2.4427352220632623,2.259235773613213,2.2805410334365748,1.9563568322869307,1.681741747774835,1.405280740853617,1.116134950232514,0.9830150939308736,1.3330395832610813,1.216032705347089,1.093031733982183,1.0317168619763115,1.0106445510185587
11,5,2.66280339864181,2.6630732371795283,2.663695895421964,2.664234585531434,2.6521105364311337,2.6250892220062583,2.573093658099558,2.4868705039727796,2.447393846334122,2.225239801043136,2.3090959700565796,1.9360194452932151,1.4720943939615123,0.9831743557311803,0.5965802167660584,0.457920501737316,1.3678813118892066,1.0910307542635937,0.8537495058602886,0.8887656547636581,1.017329106323025
12,5,2.657874376691951,2.659410882201907,2.662069475288889,2.6672634398618715,2.6589942120391146,2.6367284769306756,2.590183615100959,2.5078552825190323,2.4915866899407226,2.238588332816894,2.3053839286814615,1.9294889638462072,0.931226839610488,0.44736322174185145,0.21672533181766374,0.15258300768909155,1.3714666089937841,0.639829560499007,0.38486215958345404,0.5066945254215014,1.074895279361275
13,5,2.674156169627986,2.6771187140180026,2.676619694050419,2.6808870449285163,2.6718924471542955,2.650336699783707,2.607770396002648,2.532942331583027,2.419614057749104,2.2758676967407743,2.186835025624063,1.9731548988639906,0.3355238996857699,0.11964113395518959,0.04828911230374629,0.030061455278543665,1.4337023356065393,0.17213341511694216,0.06874748600408662,0.10040908771479001,1.1445505187881542
14,5,2.655047836373663,2.6554237955209254,2.6540488553705384,2.637704905915971,2.6319550037860733,2.6230455154694523,2.600177014347039,2.5456764843541735,2.35539707347349,2.313966634568357,2.0503315498380714,2.0148280674115595,0.1148203388875652,0.035410634559124694,0.01296113050472849,0.006909262955669442,1.4293655498524482,0.03658672273002918,0.013037278122088474,0.01838425479736117,1.1471143963891997
15,5,2.6590878622888625,2.6612128306472718,2.662570499730167,2.66687667586535,2.6552780884826768,2.6317124201238555,2.5864102879949042,2.502912534137125,2.2242881307980213,2.219213376621095,1.604043433151023,1.8922793361582626,0.03162146224931916,0.008019806125730923,0.002508192799280821,0.0015576702280260832,1.2607109016607754,0.006352933799034606,0.0014879744402105128,0.0022164634028416434,0.9811164132914508
16,5,2.6504708535900168,2.648833404161383,2.6471841076521168,2.6129571110312058,2.5946825102167854,2.571429750026808,2.5349108472709294,2.4691321118224856,1.7737918423343568,2.233387284114896,0.9072296650491251,1.9497124631824703,0.009468653980125434,0.003094616005887029,0.0008392420520001159,0.0005117466457985668,1.3802658633263318,0.0009035086969503423,0.000145731937441348,0.0002086549770360719,1.0928696136076002
17,5,2.6573396289384856,2.660386839125047,2.6616747118193365,2.64616901884357,2.6306570548595736,2.6132855002540163,2.5909112534241787,2.543274600297966,1.3748465591417416,2.301184315554552,0.4436941727678174,1.9887186400128625,0.0034704900990259907,0.0007238999184377221,-0.0,-0.0,1.3542143428775677,-0.0,-0.0,-0.0,0.9262688556221399
18,5,2.6669175963078082,2.666302028107842,2.665654329727304,2.6575038098034836,2.652431592175403,2.6461604078712075,2.6331641514871786,2.6004278077046195,0.7656781248249477,2.410899311642355,0.17012546465854475,2.08890251645064,0.0009640396735393702,-0.0,-0.0,-0.0,0.9483827662724639,-0.0,-0.0,-0.0,0.2839293839447353
19,5,2.664096337047935,2.662889132689978,2.6603943377835413,2.6513143843963074,2.6397236124521792,2.6223589032483954,2.594345184167247,2.5599574032174104,0.36953676782133377,2.480545469626344,0.06332728713631336,2.2360367224514848,0.0004957483722530715,-0.0,-0.0,-0.0,0.4345630750150514,-0.0,-0.0,-0.0,0.06176832372720317
20,5,2.640175683117316,2.6396247154251142,2.636543661734753,2.6238720923834604,2.619471238895739,2.6161039276754643,2.6079828686986044,2.590163043449803,0.17105926873793734,2.4507510905387155,0.024748528366583828,2.080292848907673,-0.0,-0.0,-0.0,-0.0,0.0904969868506232,-0.0,-0.0,-0.0,0.007741642214465509
21,5,2.6503761665286105,2.652541699617396,2.6519948421129116,2.6533167216513496,2.6417139656148465,2.6230762259805003,2.5923991682827037,2.542998781885161,0.06658894074432117,2.3763358340826413,0.007468366971386908,2.0366174492241718,-0.0,-0.0,-0.0,-0.0,0.016508476614821237,-0.0,-0.0,-0.0,0.0008172506228247086
22,5,2.6639786486219186,2.666307181930447,2.6675222378923236,2.6558269488420154,2.639526280703415,2.6142604673720906,2.5784142249928186,2.5277969472407196,0.023557890386642338,2.350533094290307,0.0028707865353348517,2.0299174014439276,-0.0,-0.0,-0.0,-0.0,0.003245814349987806,-0.0,-0.0,-0.0,5.735644592777077e-5
23,5,2.667323497370289,2.668346777204787,2.6672818718171847,2.6488478295151783,2.6317457791932344,2.6093030854061228,2.574692921091662,2.5151257899381894,0.009628113023011252,2.3241018344658224,0.0009780812200324647,1.9969209523700113,-0.0,-0.0,-0.0,-0.0,0.0004399663293170345,-0.0,-0.0,-0.0,-0.0
24,5,2.659297253848714,2.6587438598108237,2.656524992213435,2.6426462713618086,2.6276588616581633,2.605682627564411,2.5714373811192837,2.521887551828852,0.004941966185413794,2.3890224895781915,0.000402749926561163,2.1459114638191683,-0.0,-0.0,-0.0,-0.0,9.505482727443433e-5,-0.0,-0.0,-0.0,-0.0
25,5,2.6836061215846256,2.679695501565515,2.6730475110386944,2.647443475428889,2.6242740558382778,2.5973243937356614,2.560441456275308,2.515211572794563,0.003175902257512855,2.468482766180383,0.00011799955187132995,2.293233195753427,-0.0,-0.0,-0.0,-0.0,1.4845226818812697e-5,-0.0,-0.0,-0.0,-0.0
26,5,2.662584440939498,2.6613391682638086,2.659433038255086,2.6301984291532117,2.6128432423429215,2.592209093537125,2.56953726067496,2.541712909311143,0.0016554720977989311,2.4986297679050966,-0.0,2.215619047335807,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
27,5,2.6596758856642966,2.661363385468666,2.6616224085826823,2.645491047865829,2.6259969428403864,2.598954947295788,2.565234169420301,2.5256856118857383,0.0008970913715631417,2.4357632451538502,-0.0,2.002470590275368,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,5,2.651733983450535,2.6531257592356807,2.654962948782009,2.6523808054693805,2.638485120639524,2.616003151093999,2.5797226924637817,2.5269787552039102,0.0004350102207241188,2.3980749510602943,-0.0,1.9915313414286742,-0.0,-0.0,-0.0,-0.0,1.8156917268295943e-6,-0.0,-0.0,-0.0,-0.0
29,5,2.6507924237753984,2.6499884924934793,2.6478035527182056,2.639280005242347,2.636527433785331,2.63060989032492,2.6059356409039425,2.5553033999507537,0.0002503511566308122,2.379562093399102,-0.0,1.9782386057577541,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,5,2.643345710076543,2.642332077350763,2.6390984614365416,2.6270374704013393,2.631682432687362,2.6342009054257987,2.6172338258503074,2.572203293632852,8.180956660670456e-5,2.3665668555299857,-0.0,2.0075826322292074,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
31,5,2.6490342575659165,2.6476085351731764,2.645252867689318,2.6263611166330714,2.6254474601594886,2.614844268255962,2.571285567573163,2.489083530917167,-0.0,2.2560058665477687,-0.0,1.8425321062390123,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
32,5,2.6674551186510804,2.665972031277295,2.661646739264274,2.666586245660349,2.659558023312046,2.637977571206086,2.5922987720168296,2.519553337716179,-0.0,2.2114040601017937,-0.0,1.7481509595612377,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
33,5,2.6492339497199935,2.6460780045230528,2.6385885682399635,2.604286180730741,2.5818544900579647,2.5661739406405535,2.550586680170574,2.512428567769736,-0.0,2.230817374839955,-0.0,1.7445715728871396,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
34,5,2.6507872070126743,2.6496703180220984,2.6460892087807033,2.64303400057752,2.6356265447171974,2.619498459655391,2.5870485291113168,2.5214499215457744,-0.0,2.1670737619045557,-0.0,1.7082874056381927,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
35,5,2.6569491508355996,2.6571909387135406,2.654645841517429,2.6302922166830536,2.618164338791429,2.6061228247346366,2.5798572003032434,2.5227744004334607,-0.0,2.212910078992094,-0.0,1.6129907697347277,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
36,5,2.662999377971362,2.6649864783368886,2.6656689164762613,2.6435469482580944,2.6248646452947213,2.6041179220189674,2.5766007475814408,2.529775334680923,-0.0,2.2546422526368386,-0.0,1.68963863671046,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
