Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,7,1.0552313491841165,1.053793415180174,1.0473901235756564,1.0434526102229156,1.0395273934204612,1.035632968847414,1.0317882718588194,1.0280124480427701,1.0243245781726968,1.0207433527730383,1.0172866913114573,1.0139713008592122,1.0108121689333533,1.0078219851639427,1.0050104864360077,1.0023837202675956,0.9999432214467415,0.997685097428524,0.9955990187921626,0.9936671123303649,0.9918627563122102
2,7,2.3808102645728635,2.383973533015149,2.335449552645289,2.307099406092723,2.274829541483861,2.2385717632362776,2.198336520739913,2.154094363413948,2.105935173051173,2.0539912654596173,1.99849470011075,1.9396313085232646,1.8777568374106286,1.8132231551518447,1.746371590621973,1.6778796127522424,1.6079955933392012,1.5373167598824657,1.4663204112256396,1.3955305239830265,1.325397254036074
3,7,3.2600898204051756,3.2593211871908196,3.147339295927072,3.068706393919612,2.9742341539049018,2.863781587146799,2.69047615320012,2.5583718186698965,2.416199894606788,2.292452761117111,2.1449823716481777,1.9838412849315534,1.8370111671386655,1.6869196080856563,1.5334850701458471,1.4624493899118467,1.3572624596497966,1.2653686411284086,1.1842804322983502,1.1132253898279538,1.0507736778736734
4,7,3.6872055343492938,3.6853793752394886,3.5617099574550695,3.4615812651747917,3.3339524293366103,3.1794564974182475,2.8479973204674836,2.6842173629898847,2.514373710733357,2.39883613879306,2.252710303693861,2.062691986475432,1.92042078646162,1.7795147648765959,1.6489008220765788,1.6100572772527266,1.5241786744140564,1.4539818629922774,1.3926448828827922,1.3385433106613887,1.2899674396377032
5,7,3.8883150916412084,3.886105316693129,3.7704237567925243,3.658935646516895,3.504811210242656,3.3107835135900885,2.8484764362259427,2.6480454845006736,2.4443017735702575,2.3198721804743583,2.1458878108965753,1.9316760421290984,1.7724888742216685,1.6182618548501042,1.490007081916434,1.4230876336569829,1.3302504691411277,1.2523893052360306,1.1849482371073714,1.1265788542163617,1.0765001061991843
6,7,3.9974357576530664,3.996344549897085,3.9195012885729286,3.826998360651823,3.6842559999426037,3.4940766017002667,2.9538207139802677,2.7646069052905275,2.5790118196579868,2.4881481697566463,2.3449322679569735,2.1446410012490964,2.007490188838004,1.8738124463635257,1.7527802533549315,1.7067742793532228,1.6178129591264405,1.542466770585474,1.4725382097024542,1.406747472075573,1.344707568443372
7,7,4.006924618367928,4.005231501257736,3.93693903792262,3.8449961696409387,3.6953444117426155,3.4908736998468686,2.913895753266093,2.716340034112578,2.520475091468866,2.4172077704438744,2.2494514838938016,2.0300901166793697,1.869046826380955,1.7105771946045678,1.5645833121459078,1.482626527317063,1.3676667074702389,1.2699209666450655,1.1836333131003187,1.1090554801694565,1.045992703486645
8,7,4.031762534943197,4.031354521991109,3.991848109232225,3.92375497132753,3.7978762712540064,3.608925261211847,3.0094609761876248,2.810539145635621,2.604311069516247,2.4980381070350743,2.290158919344638,2.0490216026125014,1.8545009405833723,1.6701717207469315,1.5092393141702438,1.4058167708248057,1.28738525608501,1.1907394895729344,1.109984512988264,1.0422176411933575,0.9865366448622307
9,7,4.035295394416007,4.035358671801194,4.005620748973139,3.952602941940813,3.8460238478053785,3.671109598814364,3.067495496247802,2.850733276348932,2.6096551741373224,2.4663082637106433,2.2507333107233807,1.9887639736955731,1.7909893348872343,1.61443628537743,1.453895278917236,1.4229975244546906,1.3435653394841944,1.2851426268627097,1.2402370303894785,1.204903018417273,1.1762709161063207
10,7,4.03576073362624,4.035593443711716,4.013035291983788,3.9666821200777127,3.8621646515359895,3.6746586680021767,3.0112180487909304,2.7477757557054447,2.4726485541181122,2.3137265764187616,2.119945411267597,1.8568332570558592,1.6816992429521294,1.4970299171439978,1.2937149533224312,1.3844167035377084,1.311271986653662,1.2480212543009435,1.1927221598808346,1.144186218956302,1.1011649850404268
11,7,4.036467240745143,4.03610788985067,4.020024982152967,3.979594817087835,3.8831443566984016,3.7068063707744376,3.0839061610438527,2.85223515612048,2.6126087562323526,2.468970398071151,2.3044987277898854,2.0655557268539213,1.8833959768909796,1.5500728359681337,1.0841867694258656,1.6740391997083732,1.6027405251753284,1.539074110114613,1.4824250723470822,1.4311067251649738,1.3833584531854441
12,7,4.034937026354605,4.034553671250851,4.015553422341288,3.9783190669171096,3.890641763164688,3.728022815336597,3.1209025150009855,2.912992966936566,2.694170867200955,2.584891095577102,2.403449256816678,1.9755199954545193,1.6477822548999994,0.9680065478659031,0.43398876983942597,1.785528165516609,1.700604435365323,1.6232183486717886,1.5493355440013679,1.4773830045713456,1.4049021079303659
13,7,4.034090253874496,4.032990455251417,4.016392452475235,3.9794329426324078,3.889042351327198,3.716295639644025,3.0537819358284644,2.813985599828346,2.5595232717568095,2.4841435149962168,2.3056608102733014,1.2005572924459371,0.742156792507672,0.24279362434261198,0.0730669245721762,1.6257723546948502,1.514870509148877,1.4122828445133646,1.314310623699521,1.2178650545699174,1.126489233881002
14,7,4.035504705102404,4.034163445040842,4.017695451173635,3.9818337274671656,3.8958697476765867,3.731029638325304,3.046641123640624,2.715803815938258,2.3588821339388555,2.4465922428934133,2.4166700953969906,0.49887210016516387,0.23642631128336875,0.05812551667197112,0.015477068469783917,1.723088548397645,1.4873114682830397,1.2979862686339976,1.1620740903460376,1.0621076501875542,1.0629419978423365
15,7,4.032198444826915,4.03171111135594,4.021482523680452,3.9911775109820167,3.910766217517605,3.748192404501289,2.9457329946969315,2.339750716028402,1.7545187111474942,2.1589432383996168,2.469823665718162,0.13160940261809367,0.05104368184899999,0.0106129655342891,0.002520276299272655,1.6081939977178912,0.9271972537698491,0.6170351822554663,0.4846713937549513,0.4278455713737689,0.6927255471388921
16,7,4.03405773013726,4.033123059407225,4.020773278310932,3.9915525748452487,3.9178089585132585,3.7672760236533946,2.7460086230373313,1.665367919685623,0.9602505525096726,1.4876202684632087,2.6057764609591545,0.034478609663130176,0.012286943451651228,0.0021871077746003723,0.00030425169420209035,1.6437038990334465,0.32734809390203784,0.16459995857520016,0.11490350895422806,0.09445216855937637,0.22467999624169
17,7,4.031297316939318,4.030861174324525,4.021783823827485,3.9952209819489544,3.924435780326739,3.7736860430231585,2.264154297698154,0.8711610429690978,0.37933174276284454,0.6386689631131939,2.5417738018518268,0.007459869875888671,0.002132200924081421,0.0003330385068884112,0.00013553869706131263,1.3923215499113248,0.05017795104515917,0.02061160162657237,0.012578246743393858,0.009337345771808035,0.02325496006341384
18,7,4.038137221870871,4.037927109925294,4.025168762559396,3.998726464383206,3.9344847362497157,3.790318543739731,1.4504597356131763,0.37502018586570807,0.1351716736733169,0.20616225715529232,2.5593454061780196,0.0016798027479766973,0.0006527217682131857,0.00033039168892957406,0.000302449284186008,1.4289097512238698,0.011785723689035564,0.004687430145163179,0.002619400017726451,0.0017323800131088126,0.003861040660795682
