Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,5,3.5198608530879483,3.4940385226194435,3.4656862618345956,3.4349476651686097,3.4019812411841155,3.3669553684749034,3.3300433993820167,3.2914191564646895,3.2512530164926314,3.209708719483951,3.166940982167277,3.123093940933183,3.0783004019610773,3.032681837370943,2.9863490364133947,2.939403299594135,2.891938050570722,2.8440407348822596,2.7957948753108757,2.7472821601998594,2.6985844526275535
2,5,4.191254871983888,4.036371700621138,3.8827486406621805,3.73238880116709,3.5869250239932238,3.4476217728989873,3.315438953839546,3.1910440941966485,3.074859251209114,2.967108706262038,2.86783812153082,2.7769833326678928,2.6943359984110495,2.619645107040711,2.5525814862275094,2.4928000374752166,2.4399180389799735,2.393587378084472,2.353419849714148,2.3190611195912734,2.2901765267767282
3,5,4.918703315442702,4.713348644145093,4.496743869543062,4.277425750787282,4.062596887750894,3.857765536807373,3.666757255623849,3.491880202815676,3.3342696667118563,3.194026279624901,3.0706130880965263,2.96304859380643,2.8700296708196897,2.7901199549200997,2.721856098037329,2.663768506406708,2.6147012788788007,2.573262622794365,2.5384410078943196,2.509258597321525,2.4848594567911886
4,5,5.369419621268798,5.164910913982113,4.919287783637322,4.645535988210117,4.359124367640839,4.0738249241156685,3.8006166783513677,3.5460245786927445,3.3141593310910165,3.106363041354558,2.921972418291208,2.759593479355367,2.6171157183884555,2.492285887608379,2.3827140519290673,2.2866011384475735,2.201884125966318,2.1271356736046183,2.0607904304013887,2.0018615635553667,1.9492621163863741
5,5,5.804384754159619,5.74937864678502,5.659107547974031,5.524129434139768,5.3404386195894595,5.112711519977991,4.854819032593787,4.583869329933674,4.315800832101833,4.062352820523352,3.8303979919682076,3.6222554829777205,3.438145634646893,3.2768519553971376,3.1356558450154104,3.0129399200139524,2.905967558579726,2.812787728683901,2.7315631717192006,2.660791054361068,2.5993581624506104
6,5,5.753279421870632,5.75319161655172,5.729938729505072,5.664688504826633,5.532961171803569,5.317066460186931,5.023054935064714,4.681134057449078,4.329643495705197,3.997884276166175,3.7026141117804032,3.4488493150747384,3.2353471212455944,3.057817095062738,2.911376901878856,2.7905783407063285,2.690568579210658,2.6075619784516073,2.538162575971612,2.4798177726301356,2.430091424210437
7,5,5.780198636212331,5.789131343476751,5.7760758247988395,5.718052297558906,5.582911398568228,5.347295638506936,5.020990245107183,4.646630957197058,4.272640775081451,3.933182072231496,3.6440362498537575,3.4070473721402887,3.2174114447482443,3.067117324131232,2.9484458805292233,2.8540703693229497,2.7778908973658964,2.715030902389652,2.661764411476818,2.614952106824207,2.5725333105961274
8,5,5.788750485634231,5.811390382425588,5.8309155613072035,5.837161546296426,5.813306887190829,5.737951190489557,5.5908251547562715,5.363452227421041,5.068556822909033,4.739799119620051,4.413950727486604,4.116642742551361,3.8582738265233636,3.6394926072945526,3.4565430357678673,3.3035354565654917,3.174847707690698,3.0656582748866943,2.9722471446004706,2.8909060263387625,2.8201285839526617
9,5,5.783172349139728,5.781472032316455,5.774948854035854,5.7537292784287954,5.69347979496284,5.553309070655932,5.3006406771265,4.955165812223001,4.583751706058915,4.246767706675572,3.970840617316466,3.75749190176214,3.5944384719158604,3.4678469278104407,3.365602006270361,3.2776420682310743,3.197623015217685,3.1212209535830246,3.0455074104834057,2.969655934332998,2.892852696708178
