Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,8,2.752955819644163,2.7336698714038876,2.713665277832334,2.692936225330858,2.6714700303447794,2.6492467211106265,2.626238767834466,2.602410993387974,2.5777206770185854,2.5521180187721346,2.5255466680537797,2.497944793425486,2.469246385412266,2.4393829445745983,2.408285536688942,2.375887202186037,2.342125686086417,2.306946431041197,2.2703057513084683,2.23217408173802,2.192539175697383
2,8,4.476857885661808,4.452277631401852,4.427124810138459,4.400905088926115,4.373089285704996,4.3431240992379525,4.310446097362721,4.27450179446794,4.234760613986494,4.190771248590035,4.142157099467459,4.088645149356384,4.030086623263048,3.966527916040329,3.892704877386768,3.820916376809927,3.744871204973875,3.665162453972151,3.5824960273207376,3.4976260032642092,3.411334957974546
3,8,5.597900320724089,5.477706600635399,5.361281013465587,5.247873018307326,5.136769796768786,5.027332943650057,4.919048687100553,4.800214657166658,4.69633534056692,4.592322535828565,4.4726464130238295,4.373100220633065,4.273179139549071,4.173558918650201,4.040297273316234,3.94855466751725,3.855577353869452,3.7612173702836302,3.6654327578063324,3.568185013344774,3.4699026562505453
4,8,7.087643405232651,6.868321050256796,6.653455309946423,6.443318815493189,6.238065997434134,6.037714042635106,5.842213937848156,5.612378164781617,5.437419975794632,5.264310263495666,5.062234595070124,4.904728145902854,4.748091077428143,4.595197587952312,4.365219443781426,4.2377898531736795,4.110508414321817,3.98297824784885,3.8546862264177513,3.7256735722076026,3.5952838808381022
5,8,7.952572070159677,7.521016313665703,7.08804615009966,6.662832616342206,6.251608273016582,5.858531668994524,5.486876430178685,5.041795656249243,4.751101949541249,4.479807163541137,4.170532596190728,3.96698618956833,3.7836174505465,3.6205428978371956,3.408498246851517,3.3034140153471037,3.2111363266172464,3.1308053343295295,3.059974272742998,2.998226472592914,2.943259678826329
6,8,9.176866304739121,8.73053618218771,8.208804121443414,7.6447650482373275,7.064670753503362,6.488828502852608,5.934518576466003,5.296002234245749,4.870481096771239,4.481606361539119,4.072977174507939,3.79295906251127,3.545312553682549,3.325988772141964,3.0972804650352934,2.940386039604441,2.7990688700006636,2.672230729869971,2.5592516900220934,2.4601431167056558,2.3732882697851267
7,8,9.690407797599546,9.326221084859965,8.742049866488808,7.985476372341642,7.153408830728131,6.335440727310717,5.591772229344715,4.804781213481064,4.341973975165769,3.9620264944829304,3.6070895146598394,3.396964823460573,3.2352383100872877,3.1156774931257947,2.984628696667204,2.935590648362937,2.897781118974248,2.859116439328735,2.806985763632199,2.7322547349214523,2.634076819855837
8,8,9.882521698017046,9.635158777769378,9.099896198656058,8.285739215537522,7.353077714269692,6.454996726498479,5.675810828425441,4.89797739312747,4.479195558095624,4.153929865356135,3.8660600983243807,3.699469990341627,3.572150966486144,3.477859389481868,3.3749088691649654,3.331829185714124,3.2978171439983037,3.2667975431991145,3.235039102597931,3.198805584269203,3.1547990588199855
9,8,9.935020421103712,9.77618686241868,9.34332188514311,8.539233076141421,7.5262914012881295,6.545660542955627,5.728481668546354,4.968877468318579,4.575245019973867,4.264239418930138,3.9789924733011004,3.7851699413070548,3.611275046000697,3.4546890823852845,3.2431063727242133,3.122151873303231,3.008517665733015,2.9026191063196323,2.8049216104220482,2.716749471931633,2.6348857843683016
10,8,9.972987009975228,9.918977577195228,9.702771460976956,9.112021747563746,8.126685577207624,7.052668305781084,6.129531735715317,5.279849237561133,4.821904487844864,4.457255131637084,4.129960956231891,3.910075694606475,3.730092158769006,3.5815803874565537,3.434308855350145,3.3443769208359577,3.270808874281187,3.2098160309538364,3.160272891085707,3.122038676490682,3.092513399147087
11,8,9.986650375008493,9.935789818277877,9.709670215654555,9.03510699373157,7.924308525900487,6.796273576060445,5.889740148499069,5.094285329366419,4.667512839264012,4.32690180013574,3.986526791216082,3.799882901782404,3.651831966633382,3.534449617002618,3.429292991122504,3.3637082020788034,3.3123678638010743,3.270528574009598,3.2363412015532003,3.2084577805233514,3.1827192943710285
12,8,9.992995724491122,9.961499986020923,9.767554416865822,9.099747764218709,7.982333207048566,6.915323832693523,6.143290081545249,5.463350825067836,5.232826114112263,5.062998087232252,4.871525143643906,4.792890046348168,4.718124814650411,4.637030522856684,4.510921162275528,4.4097999443328275,4.290610092608686,4.15591112601484,4.010145380466334,3.861639469441849,3.716934279857071
13,8,9.981210223529297,9.96227311937831,9.86796227901863,9.44411915548727,8.367122373777827,7.1073055426341005,6.141693420892075,5.357821237253506,4.949862763632331,4.608478163060571,4.264023744055754,4.040980109788053,3.855318645716856,3.706702238580918,3.5440887061869866,3.4792254760225134,3.433568426270198,3.396893193854811,3.3629515109436894,3.323605073519057,3.281008615647065
14,8,9.992801764560477,9.979440383444306,9.91019535902836,9.572137412863153,8.550222161524204,7.242700902230022,6.245140015515397,5.376994063016484,5.055902991250924,4.806336550416598,4.553895730908581,4.405158794372153,4.269000167150249,4.137443078315335,4.015018889675432,3.9016321311548876,3.7868213842715517,3.676835264787313,3.5724314909472987,3.4756002380633575,3.391207148978125
15,8,9.995352936841474,9.984418071821693,9.925807646000179,9.63346931499031,8.678935574691327,7.25334161889298,6.024226709245485,4.941847998628905,4.505026842488409,4.1841673881124315,3.894251932430482,3.7560994651721544,3.6650371941069357,3.6169489374159225,3.6504795413582887,3.66152072204278,3.6765794722095126,3.6785106181837754,3.6508704871463302,3.586311076107641,3.499555594404044
16,8,9.996836902772301,9.990084468395215,9.943372666637428,9.700765024904944,8.607029848596456,6.832402320315536,5.44261209407206,4.358113538712993,3.909269096765107,3.5975971080645652,3.3334732526308795,3.1967403064921274,3.090985885319035,3.0010399013890905,2.8980550801486866,2.8002911066003033,2.682998876670811,2.551786392276508,2.4169122361385353,2.287032050377573,2.1809322815303966
17,8,9.997951207289152,9.983904873063418,9.924178380480596,9.66094723599637,8.76492233599537,7.305903412297303,6.084414357088976,5.026213568248881,4.555895565668695,4.139720528547847,3.72362116740597,3.355100701333153,2.9938272578604512,2.6470410663087565,2.2767557329716634,2.0026221225792233,1.7662312734840824,1.5745047140711954,1.425665258506851,1.313805125742989,1.2413083257005668
18,8,10.000119261352003,9.993303091396465,9.947832525343443,9.742244117791508,8.881719834659295,7.289462752278531,5.900361799343057,4.579668973586839,4.004512286001197,3.499101587190509,3.035361892897175,2.6369060595267984,2.290191933040785,1.992963520350695,1.7034318507396493,1.5204142307579993,1.3729237372668275,1.2595382521084268,1.1751555163139122,1.1117618758679275,1.0712352607368962
19,8,9.992217107026676,9.985221656238227,9.948899070970267,9.7507853347172,8.782420955292492,7.152534393168954,5.880706585140349,4.687993778489125,4.083390936317021,3.5229246872456095,3.025771778462045,2.6121167701118955,2.2739485201638145,1.9963967535618352,1.7517083923629777,1.576927294246215,1.430214865962959,1.3076444692229514,1.206112716477412,1.1214552661951396,1.052286523454941
20,8,9.981987753874982,9.978066737692382,9.940755234854825,9.753695683649369,8.761790513506353,7.035656581863888,5.661645483056511,4.194101803707565,3.526415132796602,3.000575886767195,2.5977754698101974,2.322141755666295,2.1299659876020063,1.9973979036846916,1.8997216882484549,1.8445528157608426,1.806780667898504,1.7837762377420567,1.7715349043671107,1.767332941685409,1.7700504385602707
21,8,10.004944922016168,9.992743242464691,9.949294845725275,9.716949094978586,8.514820069293748,6.952610977225484,6.024690195201395,5.035572436616549,4.561690461987548,4.141274767145061,3.8012994055331952,3.540540912456005,3.3338815691864783,3.1547668245970266,2.9855897890046,2.849191363988448,2.722628733044086,2.604503735211735,2.492818499780568,2.3913146392302793,2.2972760818542852
22,8,9.995321631617944,9.987769025483345,9.95652318431725,9.826366320504016,8.947123384675654,7.319939184029705,6.057124536715513,4.766272665574278,4.131358122303379,3.6227871809663,3.214685713185606,2.8992188330115423,2.6396899445380826,2.41211361559892,2.1938713973990804,2.032669653348985,1.8937294648369765,1.7751544222572426,1.6733389252226842,1.588365303556565,1.5170887093741525
23,8,9.995411091746602,9.991986066290915,9.960221536340741,9.765256324541328,8.69878717564909,6.954234954139269,5.643840108357251,4.618886150998709,4.212614520099798,3.906152297695693,3.6540969736102733,3.47097617319458,3.3231774589575656,3.2003283929392965,3.0757895481237325,2.999822180557302,2.9332839608092507,2.8746304590209637,2.82111524176566,2.768878098185309,2.718530203452566
24,8,9.99448034260797,9.988420309100832,9.956389434601217,9.751255790173849,8.633661689274222,7.137606789486231,6.299758654798867,5.682733922497775,5.397920270189865,5.142006024046706,4.872189504432214,4.630897974541412,4.386955526270251,4.138041489389247,3.854174582773618,3.624541371266858,3.403663158586367,3.195324577139766,2.999997573647815,2.8199384903592173,2.65276304684109
25,8,9.986646787130415,9.974871593253628,9.93962917015587,9.775032627906576,8.857285018140232,7.406149275355042,6.620220695948693,5.833267214921956,5.370398727257482,4.919910455673665,4.480770996259656,4.145025608595667,3.861929877472578,3.6221961428901612,3.3608809502871053,3.2088020263913655,3.0725722062205034,2.9515298520565247,2.8405110519898447,2.735908513027439,2.6367728846444227
26,8,9.996532873780048,9.989066953762995,9.952617951555858,9.791584138419834,8.889163689602821,7.499667103537628,6.701107188710515,5.70588018594435,5.173864814455395,4.671744011300646,4.192295774321537,3.855190133259909,3.5775317514583227,3.3414946471244127,3.0820106466563715,2.924714964476722,2.7801243127202513,2.648320611045385,2.5262106833926516,2.4118206963596416,2.3047363764203594
27,8,9.991843557110034,9.984710355741866,9.954910220148541,9.83717455281835,9.137073552652298,7.611493992817386,6.531674320042019,5.305973367281031,4.685193503577578,4.157249546943032,3.705628162393026,3.3701128917037932,3.09668878789606,2.870574585468746,2.6353289035873773,2.478139013889296,2.3307183957221675,2.1939715103775446,2.063537287684874,1.939125152549957,1.8219355166022484
28,8,9.994688915778994,9.98437054061259,9.952831489578593,9.842289926870109,9.198135934302305,7.633727479224778,6.480691865156666,5.434027683544087,4.95754342790893,4.58097030269737,4.253971048333977,4.038095480516828,3.8577531238474454,3.702899463209043,3.5165588227339377,3.4059867717107495,3.2996689883346324,3.2008796389951772,3.107283730922821,3.019424431323458,2.938082017071712
29,8,9.995617305041915,9.983259352523175,9.946344676585419,9.793554745332402,8.791158537981639,7.277111260074966,6.4711442974683955,5.6776301399899705,5.303182332198011,5.065422401112088,4.885455649967495,4.816306295035698,4.760628449522791,4.701805261021365,4.590694724333114,4.5023889986277075,4.396478464046376,4.282287640291131,4.166938448134848,4.0568019649571605,3.9550545890205804
30,8,9.993174073646207,9.987253396034994,9.961228816351188,9.846816723931136,9.091633281462125,7.358890554604097,6.478748140533905,5.786115793242718,5.387539780144583,5.059644711673174,4.7346627359492395,4.478046629801674,4.2433588185476,4.027726322940731,3.8156478476698132,3.6744761778523505,3.5547519364154123,3.454015228388284,3.364028084513755,3.280228901843014,3.2017174787916396
31,8,9.977376511139946,9.973099840272058,9.948819930763168,9.82221549674791,9.198423748614752,7.7553456694302545,6.571472403164911,5.362963926954787,4.69109849315654,4.126957719891045,3.6048804553921996,3.251916694644621,2.9844370352282437,2.786556387457088,2.611254214550489,2.540783818641632,2.5000113566268514,2.4819419776545915,2.4763896618421475,2.479239234915899,2.487171758924519
32,8,9.99276770578126,9.983767641850056,9.946515858061387,9.800603900339222,8.950572279234928,7.0799065553747305,5.808290379107195,4.643596400379316,4.160245597842937,3.8060898224925808,3.520102030208287,3.3506272879664167,3.228633751863152,3.137470543241517,3.0327851186050783,2.987336819390577,2.946662601460137,2.909366843157539,2.8713801891039212,2.832198556935612,2.7899714739326513
33,8,9.984668420412353,9.978772741121329,9.954800565533757,9.868532152337371,9.312133037851945,7.679819553757793,5.955188210123039,4.7275496045220065,4.2802715705935475,4.024480645794216,3.85385603107188,3.7879617820677507,3.7453603764222385,3.7029482561600147,3.6153791310588175,3.5557798575835378,3.484967167259947,3.408596376110253,3.328802906945559,3.250186908029688,3.1756289831476914
34,8,9.99128600385653,9.9824702181054,9.949475110370061,9.843927584236361,9.257953595775662,7.087693494470656,5.564332023188616,4.423036241791,3.8537440074953735,3.4643929739680686,3.197954659054619,3.0517738858667025,2.9775271722185526,2.9502866137583603,2.9265611295715956,2.958832915091349,2.9958970545695722,3.0324249837484123,3.059644824629412,3.0774168541160623,3.082157410986223
35,8,10.007424135015679,10.005150618310552,9.979258452654697,9.861473128270376,9.28946878650623,7.491642160010107,6.024494369744059,5.045778106863629,4.569731075711122,4.222650803557044,3.9437674805831726,3.765638748188027,3.634461619465271,3.5366087189929134,3.4291397833329755,3.3815440216447388,3.34305912874339,3.3107161823436386,3.280290551279062,3.2505193623748116,3.22066661624057
