Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,6,2.4749924903388045,2.443214637061678,2.4113218130818934,2.3795165299106897,2.3479979408763914,2.3169603484996415,2.2865920057835205,2.2570741947944533,2.228580556709242,2.201276640396843,2.175319630971422,2.1508582148520072,2.12803253286949,2.106974166986256,2.0878060982839206,2.0706425629864107,2.0555887182536035,2.042740008983107,2.032181099405106,2.0239841972295163,2.018206551909437
2,6,4.600803891612082,4.494560406351655,4.389259886887699,4.2855358940032,4.183766457273718,4.084308033532631,3.987463817817646,3.8935109677765123,3.802654606069247,3.7150673958216296,3.630879325080428,3.550193844036389,3.4730725674791483,3.3995673136021716,3.3296891910642636,3.2634286383078113,3.2007455842396837,3.1415691173320974,3.0817929640548445,3.030321733606353,2.981737236627546
3,6,5.841823964692249,5.662148182706133,5.478551786990731,5.293270788407941,5.108315482909243,4.925824434843133,4.746752232265443,4.572621573602492,4.404341385344354,4.2423359137590815,4.087006963591149,3.938520618039108,3.7965226842561606,3.6608844094884048,3.531048402090643,3.406589249988885,3.287018076042769,3.171877619337103,3.048979590261401,2.945157549475883,2.8442077506347214
4,6,6.704720701415005,6.516380330479233,6.295716841594187,6.051923854585271,5.795064550951866,5.534433362289724,5.277983099801742,5.0305399103264286,4.795334757616806,4.574072031059172,4.3665386926511385,4.171518313561827,3.987097815600356,3.8110614715582263,3.64175045036888,3.4779161677256916,3.318689571724541,3.164598916010056,3.0075759565029188,2.8695954397193963,2.739784136929216
5,6,7.02502550736343,6.905034938478028,6.744700588085306,6.544969938370892,6.30931496986536,6.044452901385969,5.756229138270358,5.45255212393899,5.140556151565328,4.8288308645061235,4.52584494581891,4.238180523368858,3.972022755044077,3.7299578354750325,3.5133930355392,3.3216848847257627,3.1526140400137086,3.004072431578739,2.862484707659002,2.748329853141012,2.6444715972400004
6,6,7.180619030057164,7.139286441264157,7.067637218027041,6.956879014231977,6.798828968369121,6.591471568781162,6.3400348355069225,6.056171714072894,5.754194760580651,5.448810409950983,5.151581511588407,4.869804888095769,4.607006566279466,4.362005904900695,4.132103497185754,3.9132035255954394,3.7020353981425913,3.497654748722457,3.2926212576616103,3.104739344886538,2.9248523088192746
7,6,7.232708735520946,7.220035237513813,7.183558137870587,7.111694252401431,6.989721445626683,6.810080272593495,6.575571070689693,6.302654149116691,6.011714280922699,5.722115948114143,5.446131078460849,5.192585446720133,4.9655002918566025,4.7672121231655895,4.595820232802919,4.445972786080996,4.314800716130739,4.195214967707668,4.055133265948065,3.9522388176557737,3.846692180423362
8,6,7.220409424695483,7.21106741010979,7.181806517751095,7.117254469543496,6.99736621078203,6.800767426526956,6.5185543244162005,6.1585590509988455,5.7455700771884635,5.3142715430211,4.893924994692657,4.5140601991477896,4.187530656457878,3.9208716238317733,3.7118605119900785,3.554930632039228,3.4437871277083243,3.3698094749239877,3.288747019205189,3.271371599466001,3.2610992704021355
9,6,7.22101316305896,7.210729335025355,7.182648030992979,7.12761454087806,7.032681467248413,6.878376225588573,6.641655340065092,6.316296843461837,5.933280490965612,5.548830575200622,5.208921583913814,4.935946784674777,4.731282701576486,4.582013759969916,4.470516760167974,4.376257294685718,4.284848015730799,4.183329861937413,4.055904822870834,3.9401413694056364,3.8180858340450663
