Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,6,0.8872412125050694,0.8803130994265346,0.8692007541570039,0.8591038210426925,0.8482432711269571,0.8369159637703912,0.824908154306443,0.8123571677745208,0.7993203240861504,0.7858608264176352,0.7720473740744351,0.757953678235732,0.7436578842363724,0.729241906061858,0.7147906805370221,0.7003913501786256,0.686132384762142,0.672102652243415,0.6583904497152626,0.6450825045310797,0.6322629545859475
2,6,1.9716599274111608,1.9557766303584823,1.895600657362552,1.8531828519801423,1.808555091282093,1.762122546041834,1.7143971443515358,1.6657742174232717,1.6168141994580227,1.5678040092138805,1.519062524538791,1.4709089891763036,1.4235155874700005,1.3770546563885269,1.3316312588187318,1.2873509279677298,1.2442309347975844,1.2019997081662432,1.1611842050913084,1.121529403161343,1.0830914046591362
3,6,2.6836437218478286,2.665795059276585,2.5626510202958457,2.4912012792871674,2.4046259367778977,2.32883158453395,2.2410589368861027,2.1415550853502867,2.0458465758585613,1.9158193579023448,1.823236317762943,1.7507615906589786,1.6426881349452882,1.548273935841062,1.4683430876184866,1.377631330096356,1.292749934577628,1.201858310042359,1.1273865702004469,1.0583701816503677,0.9930366507209424
4,6,3.3346496826548746,3.31777915974369,3.2044358317035266,3.1186017917892346,2.9865872075732582,2.906057764613911,2.786542616104143,2.637590169164693,2.503942193894272,2.270840051123368,2.1559808071170945,2.1059788329517484,1.9507902409123212,1.8365485112482391,1.7508570748502368,1.6410797569489723,1.5422501040881984,1.419038094940158,1.3386923631185101,1.2638131487748305,1.1963491177264745
5,6,3.5131969642987078,3.497065605924251,3.402447577178647,3.3219019653813584,3.1714082144702362,3.105384322358356,2.9753937672783826,2.7961521356663055,2.6442087411354276,2.359136065523714,2.224644337416685,2.16202389394198,1.9696432730902622,1.826480506324338,1.723016746360512,1.5902912120355484,1.4747252959827026,1.3552892184884329,1.2673703654203468,1.1863555229922207,1.1168876443032572
6,6,3.612164995253964,3.606989006011286,3.565630105191589,3.5232243052910097,3.400655568528524,3.3824175386670254,3.2837054355932476,3.1136035816467875,2.973299950514168,2.6285847200833317,2.491033060192392,2.468178856070121,2.2405147655594306,2.0896326985836833,1.9893259224612794,1.8500504724262503,1.7367178534540917,1.6037228067987894,1.5255888561449746,1.4599304145925434,1.407103200469536
7,6,3.638859481688778,3.6362396529352905,3.6169019381531955,3.5936345313570666,3.485819056991187,3.5008341164808727,3.4241711827000185,3.264471214817919,3.1456142540669503,2.774171106932821,2.656517078755532,2.708146970934482,2.492100700036358,2.3706884632815854,2.300158570799712,2.181626317764668,2.0838165948269762,1.9407368765432407,1.8703801522948569,1.8087004459898548,1.7485283843921968
8,6,3.654836401679439,3.6521288043960918,3.6378963022524764,3.616721678467653,3.515123385237789,3.5307771977117812,3.4543650975874414,3.311275245806911,3.192673080144938,2.805255505206732,2.6803786311813242,2.725281055341197,2.487298108302451,2.3526677609912854,2.282578123714123,2.145361776683428,2.0460366869168722,1.8829943199423342,1.817493497125844,1.7361096627843393,1.6544585591289216
9,6,3.656524350312527,3.6540723304896563,3.6407915266273427,3.6175991707897737,3.5199748492834626,3.520466229460213,3.4309596385805974,3.288529342728398,3.1554946752341477,2.762041884034487,2.6371711790624937,2.6692009089835436,2.458915596586312,2.341122109256956,2.2612918805498343,2.145783233189305,2.056079268815192,1.8271788506732447,1.7440202646231449,1.6269679537182407,1.5457696271401606
