Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,8,0.9446556662843175,0.9240024884725874,0.854747992698796,0.8026361365232526,0.747007242513556,0.6888561083420646,0.6293430554594449,0.569724048892581,0.5108216553141068,0.746153741699083,0.39968495447347935,0.34880815443290086,0.301784846915627,0.25898800197433325,0.22039012669136987,0.18601956855820653,0.15574600391606255,0.12948513653670482,0.10688536448490138,0.08763059823884486,0.07162112106855807
3,8,1.855924683088187,1.8290715576683048,1.6423275420285781,1.5247277439329403,1.4046280871960986,1.2852681804701664,1.169477881119003,1.0618811796509926,0.9563648060729145,1.5549326576366633,0.7747499530061237,0.695912955069445,0.6250934046283555,0.5626352280418069,0.5055231129695805,0.454579563818056,0.40883005133349654,0.36853696715503625,0.332641206262934,0.30066077662074997,0.27666285911134514
4,8,2.9311016743685925,2.9016427725102942,2.5971419271766307,2.4106376894178796,2.2204709613017433,2.03284775363926,1.8555654542462705,1.6903917162502107,1.5240315960028936,2.457098348416121,1.2512660553418589,1.1212985263722959,1.009560573625006,0.9096278616913752,0.8163240422068778,0.7334204863104952,0.6583694709266412,0.5916301203529764,0.5321851114566035,0.47945106977117047,0.4347213491208816
5,8,4.05580475792945,4.025035779693936,3.651575717717969,3.4075885039702554,3.1170392476818187,2.863816105702128,2.5799542323032485,2.3004886142159933,2.0902020941381396,3.4120732345257045,1.6585350293046734,1.4655517160766118,1.303676274543082,1.1548087920168195,1.035043306883839,0.9375351364023025,0.8580037606260448,0.7888052886418558,0.733352639969642,0.6903029067454679,0.6581356775806053
6,8,4.596540577084783,4.576555615026805,4.248107792735829,3.996626526034123,3.618209659551915,3.3268743263016898,2.934298108673112,2.522057001784328,2.288403634498313,3.8599510976520133,1.7023253656839323,1.4689687046001032,1.274131796967769,1.1058411653083722,0.9705357293526177,0.8656460057794728,0.7834653991462226,0.7160008490834611,0.6654819824444219,0.6299753716913371,0.6080526328935107
7,8,4.815728183312694,4.802549995505184,4.523851814567178,4.269350182839501,3.8003122893765124,3.456887042671624,2.9242896700841094,2.3727816873923073,2.1128989651771284,3.9676553875911305,1.381839322482613,1.1417536316499528,0.9358388242330706,0.7461410867833809,0.6232869132312335,0.5298534433341326,0.466361152657167,0.40846583126989183,0.3665844092908516,0.33813653175126446,0.32169861375117287
8,8,4.953815842408398,4.947342005168681,4.743218841436708,4.492354309517805,3.8986923752618856,3.457764115183577,2.712882398213709,1.9144562745513494,1.727273717453866,3.8702025156169872,0.951824658777761,0.7675270909740005,0.6081033775664395,0.46483629834945894,0.39722984128989225,0.3488313403341744,0.32338712335090525,0.3020010384962022,0.2922756081762975,0.2920729869590504,0.30403017125985693
9,8,5.0127197019770495,5.00906797588539,4.858863618769851,4.612619416333141,3.9056584254553477,3.38724021758455,2.508106109781031,1.6922511856428508,1.575224162413129,3.5442681737468655,0.9062235141307386,0.7813861225716954,0.6595394663901202,0.5506099759107244,0.5020074764836552,0.4617641038311691,0.4425953399734934,0.4280710405703574,0.4245231152692436,0.43090123222201027,0.45000449828111205
10,8,5.03464403621634,5.031942011680599,4.9165354863266755,4.6821734549331415,3.914961291850193,3.370682877454761,2.4757520588486295,1.7655879433081174,1.6722950590614933,3.108616443794092,1.107962047863509,0.9903958702412945,0.874965057541882,0.7738026627076035,0.71228227528302,0.661989309656827,0.6311700891103172,0.6072419983084053,0.5954826330811465,0.5954316794863582,0.588682664181974
11,8,5.042590577661114,5.0406618778717425,4.9639305828213445,4.774732977826328,4.051147829872321,3.579419337416009,2.7883622914697606,2.240469910069421,2.1343705158494846,2.7569067878974254,1.6681398622955814,1.5604063420696281,1.4553831583671817,1.3583211588838073,1.2925213476806796,1.2377102925170305,1.200421223057288,1.1609842188479718,1.1262606771473846,1.0939727330287436,0.7307533961263918
12,8,5.046778533480382,5.044492454807165,4.984719432843906,4.8197978734267295,4.09165949625637,3.6520459904597544,2.89562958818506,2.4076519676853185,2.2609568550136743,2.0357292554751445,1.7264625064864914,1.5693484760774683,1.4001691036992203,1.1798311194693927,1.0364938874862633,0.9234392775248272,0.8706403769332239,0.7800729504013048,0.7074067460877302,0.6516320652387618,0.1165473726242055
13,8,5.042614993961243,5.040648832737938,4.988852552326164,4.825249494382085,4.048396244466102,3.583913437500581,2.805818244722012,2.2929079489526396,2.116247199513233,1.302715054253404,1.4965449538068831,1.3172172168884457,1.133621970793697,0.7496619992961108,0.6173774737004002,0.5543093300488642,0.7100140647758207,0.6664198014707481,0.6396244560679425,0.6261180645409598,0.012714593588336176
14,8,5.043277684930496,5.0418599380226246,5.004261524468233,4.872592532399612,4.139763507500127,3.6972189153413995,2.903531122711923,2.2971451359720776,2.120443292179412,0.8847008114230832,1.3551372536417194,1.1688949169206604,0.9684617576874479,0.32954118985006325,0.2394297944562172,0.20362869804162192,0.5665466549226414,0.5309111555300251,0.5098917552112366,0.5000501469495071,0.0013070700888299835
15,8,5.046255423625296,5.0448875405723275,5.019492482610001,4.928892974610118,4.3043366596176265,3.927019978170938,3.1374268610868774,2.426538075429663,2.2726512395315375,0.6821525247875183,1.3837579671515796,1.2236160700107428,1.0187564911655964,0.11558194538610674,0.07403936613386952,0.05658514999892636,0.601208417459289,0.5596524254923594,0.5342999702936578,0.5227914862361567,-0.0
16,8,5.043308977846085,5.041499079523172,5.017370459679366,4.929811175587502,4.2969346658949945,3.897970718162807,3.040660360505956,2.1131836891525384,2.1496461816702674,0.30556988217540676,1.225071043532075,1.1945705286928434,1.0274160329968398,0.02855974414427866,0.017930020565995252,0.013408675930668416,0.713430527820329,0.6869383382806626,0.6726800929792629,0.66833442782519,0.0004932407617842447
17,8,5.049543143193505,5.047156783248307,5.025367053235212,4.948954359470268,4.316283114931513,3.917304897266722,3.013509297399934,1.6614610333430364,2.1879551549992255,0.0742641473083728,0.9988920006435119,1.2968499749924902,1.1197821116305933,0.006636232515451672,0.003755159836748668,0.002488910894175267,0.6901085500890728,0.6333599510812578,0.5913911758065645,0.562299817973833,-0.0
