Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,5,2.8638283534197524,2.810286127630398,2.756080841661418,2.701281182577307,2.6459552868490945,2.590170940078422,2.533995804453458,2.4774976609560886,2.420744653968885,2.3638055269230898,2.3067498389318115,2.249648153902451,2.19257219534934,2.1355949619549515,2.0787908007772957,2.022235436793529,1.9660059591326784,1.9101807658191834,1.8548394700728523,1.800062772154106,1.7459323013879195
2,5,2.759708568259331,2.63824352954511,2.5225635833502578,2.413321941951452,2.3110518569678167,2.216183466580463,2.129039281335967,2.0498329674855578,1.9786770583191786,1.915579014227352,1.8604463260992559,1.8130847610550118,1.7731941104550073,1.7403775331293616,1.7141264558328833,1.693814975816401,1.6786931291610554,1.667894038823981,1.6604030985043743,1.6550597901859092,1.650603828879754
3,5,5.0506825537072775,4.93658630868235,4.8195288322023195,4.701651981060045,4.584603864327858,4.469482015869619,4.3569766837386394,4.247530517472654,4.140983811730319,4.0369283775902876,3.9348539436180974,3.834036426107012,3.7336478026787523,3.6332175592627856,3.532864098669728,3.4320958465722926,3.331172339930223,3.2309561187452873,3.1320967445530474,3.0357496325730233,2.9429697462756708
4,5,5.804382935099924,5.760269200634999,5.695846206063274,5.608417275407919,5.49561507866118,5.356686117599829,5.192364650727097,5.005627473346078,4.801064339233677,4.584852132810564,4.363075992124471,4.141911248512886,3.9268256764291842,3.7221795302680367,3.5314082390092896,3.3566601619419387,3.1990298332395737,3.0590338361831897,2.9362793643339327,2.830509065843654,2.740364695330049
5,5,5.802781029611258,5.746459408565481,5.666744886965339,5.563260355467761,5.4381347788982435,5.295957972609976,5.142874612226048,4.98533210268574,4.829159255896037,4.678483286676389,4.5355604634844955,4.401302844256785,4.274401896545279,4.152723965781685,4.032535302235594,3.910333017470928,3.783284074281759,3.6478161684648196,3.5034097222231937,3.3493950808952873,3.187306993205613
6,5,5.783420686507907,5.769225022946337,5.746450393631611,5.711742556640782,5.660379378814189,5.589131444425016,5.494850369063201,5.37665619773174,5.23559320397122,5.072886214911548,4.890929359193945,4.690804028509129,4.474438679641727,4.243965374192741,4.002452571665106,3.7540535767693624,3.5040747127328373,3.258021624426834,3.021802366551968,2.8000197996039433,2.596153982701552
7,5,5.894464312181262,5.894355918216959,5.884886940848358,5.861576897154702,5.817545980820744,5.744003781217312,5.627568967541786,5.451281301536088,5.19906979767838,4.8661218749648985,4.466539254387493,4.028929213172436,3.587418698698288,3.1692544166246917,2.793243059297822,2.469931833252617,2.205086926935613,1.9967223932204363,1.8407973661277763,1.730815183818769,1.6590565430343964
8,5,5.894341013172603,5.904617435241547,5.9023865327599765,5.881027561237073,5.8304263185872465,5.730526535135855,5.542166240710479,5.213587562479527,4.72021941201158,4.10776957748109,3.461830259777375,2.8533575094657944,2.3234726250421334,1.888170320052243,1.5466172725409626,1.2880474941249986,1.0986307216876892,0.9620300082489343,0.8652243630756797,0.7972120080719747,0.749954562588388
9,5,5.830500883711954,5.821038602746929,5.805235626809521,5.782015089988227,5.748889920636068,5.698223820051773,5.603288723123881,5.400410333637084,5.011258961191401,4.446170897661954,3.825931608953602,3.263288749276938,2.8102285641823492,2.470284314737708,2.2255168393185687,2.052448293913819,1.9315361387900956,1.8454029053606922,1.7827814313241725,1.735277940496411,1.6986841006099123
10,5,5.949798233535787,5.951164390124912,5.941355306359009,5.919139364702582,5.882140694848381,5.8260258775992755,5.736505941404337,5.556900927116091,5.153815583404067,4.471105416306681,3.696864994237631,3.0192558704626897,2.4982876932512075,2.1177579281502337,1.8424431531136922,1.639532616196555,1.4868283980942434,1.366966840673665,1.2701705041905977,1.1892010104477717,1.120698725028366
11,5,5.841149024082567,5.847014143973914,5.848304698095428,5.8410419118669745,5.815730672634339,5.754037162472237,5.628369571387961,5.416824389511497,5.123061694481348,4.775996220316272,4.411779001632862,4.067148887889067,3.770111956199577,3.5278506818953965,3.3331980294430137,3.1739003727613806,3.0389265280736826,2.919641694624282,2.81082920618124,2.7084279924795402,2.611638098547291
12,5,5.810949995507976,5.814574022986278,5.8121109062174385,5.798915359735591,5.767239490674242,5.707188303248606,5.606771905670539,5.455227430375627,5.2332730326806915,4.916251163589438,4.52316047846336,4.133625529712803,3.811974472775947,3.5681431556300875,3.3869537879638867,3.249485234898677,3.141665646459793,3.0536076227200595,2.9798274841202024,2.916342095591936,2.8618653662978617
13,5,5.778895209024033,5.778991049203298,5.769456434928007,5.746299832211843,5.705633227913713,5.63933514503005,5.529905342819577,5.357120536004899,5.118810068912033,4.845731608799213,4.577504642082731,4.331953690577485,4.1158795252329,3.9268197109636858,3.7633888593561347,3.6217658190838713,3.499137225194915,3.3927330784812564,3.3008933512075993,3.2210253203126467,3.1517947617551547
