Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,8,2.611475007332731,2.5842295606599475,2.5572347685023136,2.5306120950656035,2.50447840344813,2.4789451404695804,2.454117533517316,2.4300937711582034,2.4069641344305204,2.384810040728348,2.3637029543288026,2.3437031303205393,2.3248581002716415,2.30720087578783,2.290747817313118,2.2754960185588584,2.2614202662047647,2.248469391330308,2.2365620652314497,2.2255819877120704,2.2153725376797233
2,8,5.773999376247002,5.732480870879203,5.682267152464037,5.6227572037588,5.553549541544683,5.474503893954795,5.385791273673798,5.2879046170504465,5.181659670332828,5.068134166449472,4.948578355450349,4.824425365259564,4.6970070859553585,4.5676582191469794,4.437568564517072,4.30772426110889,4.178944693022286,4.051856811153246,3.926874697682166,3.804226153891682,3.683965603496355
3,8,7.533384220880649,7.330519022112318,7.1144693395650735,6.889189710673918,6.658399950479792,6.425430201833856,6.193111598579632,5.9637868967194185,5.739298967011624,5.486467165714831,5.284832628493481,5.089087225948101,4.899740633361495,4.71721756154667,4.51982723601676,4.3581018140118415,4.2012510884958605,4.049690841013836,3.903298647934768,3.7619804572038658,3.625406864636424
4,8,8.490825322036379,8.140630202266975,7.754955355812053,7.347728913245159,6.933857170460314,6.5273012752109345,6.139670243925749,5.77946376308035,5.4518877128339005,5.103087527815549,4.863898568966825,4.651338621307608,4.463597305560148,4.297802618514969,4.135565466711732,4.009821263791471,3.894171067891215,3.7866738343051254,3.6846428170107015,3.5856257701901715,3.4888261361532495
5,8,9.195774936748974,8.781978942347141,8.283015381362146,7.744213868887642,7.207376155303427,6.703102484307323,6.250144795458954,5.857266093621983,5.525224101362405,5.190803960997875,4.986192173702875,4.81285103661274,4.665350416933999,4.537443100836197,4.409495764005093,4.310013518630539,4.213445373285273,4.117468264105629,4.019489156628007,3.9177723569421086,3.8120356408590776
6,8,9.625613338545168,9.215008169341361,8.611333692754322,7.909357266483898,7.212000420364804,6.5840299368859245,6.054000261402648,5.625657705193046,5.287686777913699,4.960855490654256,4.776024939531398,4.615500402708728,4.473415936131694,4.3393955395739425,4.197228123656915,4.067279967036464,3.9323278820446013,3.79302322764587,3.650856917175623,3.5078572194075255,3.3674721732781405
7,8,9.858563984922299,9.608932177503483,9.10071556339458,8.372558210411121,7.578596702435457,6.8428834896305935,6.2173075396201165,5.705256195145514,5.288102852833269,4.889105577231281,4.624287323232716,4.388194680352281,4.182285956122477,4.00260293602842,3.8433164349005273,3.7143360881311867,3.603158909669775,3.50930118209937,3.427647002715996,3.357867040762205,3.2949954217885224
8,8,9.949723503870823,9.789783567725571,9.314578834315958,8.448805155737686,7.42077816305346,6.463578960917189,5.667342264058972,5.0339487062593244,4.532708815471865,4.088647561898774,3.7818773509029926,3.5174838751850133,3.291959211477889,3.096279966104334,2.9251304769360926,2.77592409074821,2.6404427295298105,2.5184555321882804,2.4056458881683715,2.3033218593455005,2.208666378710296
9,8,9.98466297125314,9.921747521587161,9.632181915181302,8.885307263644576,7.83796258163538,6.8492157010003885,6.065303614605065,5.476113203055676,5.02786822802664,4.633792703177955,4.361702081275475,4.121507830925907,3.908817869959338,3.715042278253304,3.5406845726270895,3.378748657410835,3.2251859343668543,3.079839052464722,2.9406315111530357,2.8090752805329124,2.682105365692263
10,8,9.990538167191968,9.955410279683923,9.77062881269246,9.127697712853484,8.00313086029449,6.8735928290611765,5.973894196504876,5.288919935126216,4.753608058856072,4.287293990400498,3.9518135906261342,3.6674093045320357,3.4284940440073317,3.230142426087573,3.065906486262741,2.9253635574498924,2.800751461183912,2.686928391292915,2.5782814684378104,2.472231180515766,2.3649330494201557
11,8,9.985891628609648,9.965158888263682,9.816100016892673,9.180501911999222,7.953346212840755,6.734293174038069,5.812686978576277,5.153081222262889,4.670015321927643,4.269731328660631,4.007739004211058,3.800198005992468,3.6375054771539985,3.5142179781254055,3.4214409052637915,3.3514422188233515,3.296094925746648,3.253753525605995,3.2171020182970307,3.1818819249040264,3.1460019154960173
12,8,9.987996110920411,9.968990818083928,9.851766967857406,9.318075350483321,8.195513105852164,7.079492140001816,6.279659468487894,5.727587877676705,5.312197423686134,4.915718991764672,4.64217951454886,4.394185617111162,4.17640253352115,3.9983365965736817,3.853039444823799,3.762523349519178,3.7085370329419316,3.6899049823902152,3.6937804034512665,3.7023738285932875,3.6926790583446216
13,8,9.998830995985589,9.98399778589783,9.895599977684551,9.455548548493269,8.307168032761899,7.005440249374268,6.019188475153724,5.332325430267691,4.847700061972269,4.424426674573835,4.203646361083063,4.034217250600064,3.900361096448136,3.795579162379792,3.700194362083087,3.638380823592346,3.5935223175864937,3.5790570973840192,3.59473090516246,3.628948527427289,3.647508371177446
14,8,9.99013038316875,9.978740928631183,9.894350546605626,9.380644680649453,8.061420818221588,6.745682430009908,5.809583486862291,5.14611923456157,4.658915178732797,4.238942571639004,4.010421507323324,3.836602774197565,3.7046076204120104,3.5934678245603866,3.4771647840458404,3.372687516194131,3.275083139175157,3.2076687983461847,3.181435090270193,3.189828790159435,3.190777021202862
15,8,9.98295237486839,9.972898058977323,9.916697835399791,9.5690161738159,8.395025688304498,7.044562905821708,6.071467553760937,5.376884014208116,4.86088472988792,4.37444057617234,4.162765470547859,4.044655066592147,4.014452474151373,4.067232841694942,4.136746518043059,4.180196693424035,4.0671222364792134,3.8313095332162095,3.6151192206714975,3.494523638819101,3.4242868704011236
16,8,10.002666540743308,9.997976719785703,9.945216004566447,9.601369573673036,8.282780617813236,6.565733812808124,5.294611717224939,4.43973071173356,3.8538572708481578,3.3784257884293263,3.1137327919765974,2.9166894729698862,2.7765753622671787,2.6936503011621857,2.6570545211490995,2.7056794652316047,2.82967196983743,3.003001296602997,3.0564290886062606,2.8590368888604565,2.5848605597893597
17,8,9.992468977702819,9.984051433607522,9.9368957639976,9.682927325827139,8.678877980006387,7.183152289105986,5.991484845079103,5.179418449273937,4.617112428442252,4.16904344048345,3.868723914246073,3.6114275526625965,3.3915408810058327,3.2086907501588326,3.0629720536556326,2.9645443166301235,2.924495697322515,2.9624610909377993,3.0867606917409334,3.2522611009775004,3.297520698334804
18,8,9.991106503487726,9.985507003598812,9.947738807958196,9.73265910508247,8.66856195246814,6.604203483504587,5.049728084777217,4.117849372464014,3.531695739295864,3.093479697137436,2.8088796151532596,2.5699973045316296,2.366061235394317,2.1964391254370588,2.0530635010090412,1.9453744448647803,1.8790783305886136,1.8807314652684424,1.9921957584246808,2.277262044960866,2.7014131155496957
19,8,9.986502147284956,9.9800464248223,9.946560989651882,9.795188253534967,8.783965600059553,6.317435340663228,4.676417889517972,3.7978120704715796,3.2888163552443204,2.9268497472362442,2.712616137328823,2.541954615275745,2.39923154149873,2.2764461447303517,2.16338839690066,2.0578927703964616,1.9588926960195603,1.8783326179477455,1.8432565096610083,1.9096316601456418,2.137026366831333
20,8,9.995352689442006,9.993134786742225,9.96256203710166,9.765083170695238,8.512910452423732,5.959414437373134,4.4679616976213605,3.7330668393878863,3.318837698170399,3.0313494372520244,2.8401403869631263,2.68246468664951,2.5456418144031834,2.4273853584689307,2.3249130336579,2.238799562178709,2.177782580386353,2.163010540653023,2.2335928423747995,2.447598805718333,2.7726341203503986
21,8,9.998480762468482,9.991693003620242,9.950365465188261,9.647015465208703,8.105483264038826,5.902315537540676,4.649580972889647,4.034921978988857,3.6826316196151234,3.427851726881282,3.2706688462727778,3.1502366277823732,3.0599881743841024,2.998923329778101,2.96148214490735,2.9556386519733153,2.982199490174643,3.0556131703610827,3.1786434381967137,3.3101444596872582,3.27547018695744
22,8,10.000462246346109,9.994750780389074,9.948122061068373,9.565184984895895,7.992621537685338,6.623088969060795,6.065554815914587,5.8194686376126175,5.669488703543919,5.533775156345551,5.433965567454951,5.328036321786597,5.207208201107515,5.0684983264639225,4.908337869995741,4.746082962089189,4.587410680210881,4.4486851809984165,4.332829287247263,4.205959520720334,3.9765630377522956
23,8,9.981265665834792,9.972266908042025,9.910089512619239,9.381709892922977,7.694839853571278,6.498486992042587,5.956239876189109,5.593886426667284,5.303151616512795,5.0152510170193025,4.823802279133376,4.6586432135263545,4.510938396524717,4.365425441961047,4.203489060763214,4.080126108582917,3.9787310557278133,3.9356127206361116,3.9550692596924697,3.8938597180279046,3.33758204200508
24,8,9.989053765817214,9.977929471340197,9.92434471629953,9.58022732196273,7.907131966714383,6.476925572486212,5.9441240437923755,5.6939259021550175,5.520688121845133,5.314758603345039,5.188040380206667,5.051428563526386,4.89495872521213,4.722904946210973,4.532142451534723,4.350779124424634,4.16934696655728,3.9944893353169175,3.8574264040292534,3.8069574030766313,3.820021160500249
