Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,8,1.1825902006413993,1.185441675705427,1.1909212180114594,1.1945413909677198,1.1978555362159695,1.2008002078899673,1.2035017559878478,1.205853136274071,1.207873538217424,1.2095289182369244,1.2107693091900908,1.2115178217665672,1.2116812105450663,1.2175930705778015,1.2097752306302378,1.2074858628921854,1.2040965279875324,1.1995032100331129,1.1935993883237712,1.18629993905255,1.1775423132216456
3,8,2.320930193632745,2.3258579786829436,2.29183606107306,2.2660345479250994,2.2283540188757756,2.1829798237043825,2.128670386261544,2.066556795204018,1.997890414665628,1.9243504821971946,1.847839597526673,1.7702509967123121,1.6933501006754443,1.6889231307068338,1.5526260984999227,1.4795971232974565,1.4163598837144402,1.3574379378539745,1.3026339910344422,1.2516018503174384,1.203960542310712
4,8,3.1789866739831933,3.1807351821949323,3.0816710205892632,3.0176267612826075,2.895095048592964,2.7676805530983093,2.6195087543408047,2.457089447316464,2.286292892310099,2.1138319137920143,1.9460691648558344,1.7877865942028806,1.642383638926284,1.6296401007776504,1.3949349030380278,1.2951104381269856,1.2077445548508525,1.1325230556672166,1.0678962475259626,1.0123111794183932,0.964393850885958
5,8,3.7225272305341197,3.7241840055007103,3.5622942691653416,3.3387232950860986,3.2178085302938357,2.9733585693544513,2.6976361387422703,2.406769373514588,2.1209329976283935,1.8561852350761627,1.6312766129245737,1.43722510989794,1.284591408815014,1.291269488227034,1.044071360452135,0.9884912794998735,0.9292696528548673,0.883035367857194,0.8467483252476288,0.8179641146923528,0.794791845897771
6,8,4.59310671005606,4.595191460999131,4.390917632281668,3.8052408117459424,3.905933218732512,3.5469039008685335,3.1607099458875667,2.7689846827587026,2.4074828480532346,2.0932412226039365,1.8579356593065521,1.6556472540101355,1.5117914683558271,1.517522265908965,1.2820689112586106,1.2203787129601509,1.1555415077984375,1.1010174504556178,1.05472699473386,1.014993484128993,0.9804221903153721
7,8,4.912306507328464,4.9124253449941255,4.738067421985247,3.9549011180658047,4.215613163160173,3.7931403006321784,3.3400273288173943,2.8895709706192325,2.487370980897721,2.1471022864583387,1.8979492886969582,1.6811759598843927,1.520422596003689,1.5528430254322703,1.2611669002173336,1.173293459028411,1.0925818891147134,1.0253216438832442,0.9696669074758467,0.9238582771603967,0.8864076924971201
8,8,4.952083348575851,4.950901303703526,4.7691446419647905,3.887101774956217,4.1278824787899575,3.5821059365949437,3.0087326046790586,2.464552221995461,2.0048980282920374,1.6404026764853037,1.3857649183615073,1.1754506422165254,1.0250306436062064,1.1492774847665987,0.8061801071374024,0.7473263354027762,0.6966823406576461,0.6602604105315066,0.6349600130536536,0.6180470921139265,0.6075137117814535
9,8,5.014421909750869,5.013064341156605,4.886655568201306,3.9264681504251135,4.251684754697186,3.639187262462351,2.995978980038944,2.4060684467514153,1.9324990462756417,1.573786021141102,1.3297835524646124,1.133110261055173,0.9942066009436749,1.117978370538358,0.7916086438964042,0.7327078467061106,0.6807638866565001,0.6403948582078155,0.6093590842174971,0.5857717842343519,0.5682902545638979
10,8,5.036838091418945,5.03498104902736,4.955036473215767,4.000228347567091,4.401685720153495,3.8018810338729883,3.1753790556697994,2.6172713687123608,2.181417132168439,1.8528065353615089,1.6244924123020867,1.432439153269498,1.2829212633955083,1.2846566366548855,1.0352277392939997,0.9442437399066017,0.8570304051252212,0.7793663961655563,0.7102633342133524,0.6490924915278922,0.5954885059936508
11,8,5.042959976108388,5.041095965906523,4.962281251987478,3.9022349168356216,4.323770308649962,3.626165124406806,2.9301391362494162,2.3507250754683042,1.917832233041796,1.599505355050365,1.3764327139450276,1.1917088401570137,1.0479883048558527,0.870534707532505,0.8257699866667569,0.7463904154799665,0.6787203505681451,0.6239837942118611,0.580818453993876,0.5478196613021084,0.5239189492698828
12,8,5.043238813876522,5.042087306855882,4.988140518875372,3.980256355417462,4.4330179344006595,3.769825288215849,3.0927169834973274,2.5381615872044563,2.123209422746747,1.8192199243203726,1.6116086963275962,1.4438263633563073,1.325441153564806,0.4997495147039908,1.162169555149667,1.1095107118164453,1.0704391678234568,1.0423489332370002,1.0225449570219127,1.0084060786941071,0.9977047502844579
13,8,5.042510193034992,5.04092178467674,5.000410338121284,4.0029625106489215,4.483758413402709,3.824407207558195,3.144129561850134,2.601048053291688,2.1976351278547983,1.8998099710529126,1.6966671727863343,1.5236142173761027,1.3946580848568468,0.1187221977932723,1.1348013528080028,1.1180614203268706,1.0548734557226294,1.0033338516317765,0.9615406077708798,0.9271179870434267,0.8979706240535397
14,8,5.048180944172911,5.046239152359201,5.006680778691313,3.9957001519261235,4.484210958984711,3.790047407568316,3.0796232697797272,2.5042477954002256,2.0591113833469183,1.7158326448765546,1.4681208496876303,1.2573001630027143,1.1028421465513079,0.027495232137058293,0.6610437987672202,0.829527598143348,0.790926938378544,0.771799080306465,0.766743048111078,0.7695963670109254,0.7752694020459103
15,8,5.040450779520177,5.0383924326732705,5.005737229758839,4.029161172391405,4.528626077323015,3.827292119488072,3.0957171931605365,2.498635524252147,2.034057808138044,1.678707444551713,1.4373528087778054,1.2393068181197724,1.1122909630281488,0.023987192658367604,0.30608579480291537,0.931421136414362,0.9162381193194085,0.9093084405471066,0.9003520378658624,0.880236388069703,0.8497769087195728
16,8,5.046524400567841,5.044220358071173,5.015047286966558,4.023677184453506,4.532677241443053,3.7792926231745247,2.998897312304815,2.348379182401275,1.840170392399029,1.4589622341694921,1.2111597160673182,1.0133220379326555,0.8960175423109885,0.01161953050194748,0.06551117435448386,0.7658023204212923,0.7757187040079466,0.7970371855688786,0.81465591194761,0.8033183503578745,0.7889252932805276
17,8,5.046331508891544,5.0440773023154994,5.01912089844952,4.089949792128624,4.620602925393575,3.919306309009643,3.1211005069284603,2.4165250787033323,1.8609612541604477,1.4482602188897646,1.1856152162214266,0.9799139119415784,0.8548781707033741,-0.0,0.016461871810530566,0.6893575365374996,0.6872320146026392,0.7065948467086748,0.7431784290559067,0.7143244029555506,0.8190795032925284
