Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,5,0.6137128642224053,0.6195133996798586,0.6254381935865689,0.6670353286388349,0.6855370110139594,0.7041920618774785,0.723114316933078,0.7426895636352818,0.76167909683085,0.7811427141600653,0.8006403633633418,0.8203052924088807,0.8404297450031799,0.8588779808692594,0.877336613376273,0.8956995740450998,0.9135125469372961,0.9306461799377064,0.9469634539706915,0.9623198608930088,0.9765644420509132
2,5,1.8634063775234588,1.8644368238642894,1.865270679128745,1.8802440991893679,1.8835985419883154,1.8855524593887976,1.885621138228352,1.8524242448241297,1.8794724294003233,1.8726101774979553,1.8627747879233927,1.848380032099423,1.832360231748279,1.798146298108658,1.7712002589091032,1.756725442124631,1.7258848311411947,1.6885866807427055,1.6468304791622668,1.6019698442247359,1.5472354182576507
3,5,2.4105278316321628,2.4091900457655786,2.406888638417188,2.4080122403098905,2.402342479370951,2.393673939446802,2.38134911784416,2.2006469733721787,2.3397092521306244,2.3087293167037766,2.2697362356636726,2.216595460974938,2.1584582342396157,2.08058385688655,2.002093455001884,1.9251439066401386,1.8430225440981836,1.7442643634451176,1.6369890068851811,1.537303010855488,1.4172515600575843
4,5,2.5949246587156507,2.59431891675053,2.5931742760208407,2.58337225563813,2.5712904175987026,2.5505643334768657,2.5245027914653004,2.3020317175628193,2.4433790820518966,2.3839229910440363,2.309800916009108,2.225230915339801,2.1193524765225313,2.025642164341444,1.8943488834124804,1.7278893134548812,1.576083359431744,1.4316340582390117,1.2892733196370116,1.1591787410163288,1.033475831160163
5,5,2.6584743467920333,2.657370705188908,2.6539930394198237,2.645479365410357,2.6312044230932754,2.6076174027945886,2.572607862476339,2.2760683217539284,2.4522297327363547,2.3586985220068164,2.2406477835636256,2.104923554002214,1.9420628188591424,1.8517948286039234,1.6693920538785758,1.4362731074894486,1.2829795204588728,1.1452445344333468,1.0220332198119504,0.920178071014372,0.826195950539742
6,5,2.675999629545264,2.6757678645020513,2.6740983774136553,2.667624573669992,2.65184329338726,2.6165082899354046,2.56626442518475,2.2096424375073482,2.378112004374525,2.2329086221484893,2.0573373177407293,1.8732332062756685,1.6724712711378602,1.5349629622419478,1.3183704035855786,1.1655426657487589,1.021862073662263,0.9123106896436041,0.8195283827516463,0.7417882637804627,0.6724536904511298
7,5,2.672408526744397,2.672922112071611,2.6710267935835,2.66253317645316,2.648887938013559,2.6106888472595613,2.558725996162948,2.3023482111226614,2.362124522218497,2.2147592498913933,2.0454246058162773,1.8945450974994897,1.7233738756915022,1.6879261323578312,1.5174909600196282,1.3453541859394313,1.2491505169660864,1.1759640753996723,1.1173146467975366,1.058096667835668,1.0028492297017115
8,5,2.659140806207732,2.659121188140993,2.656898116014207,2.6457007171742495,2.630873028569958,2.5993680325378197,2.552064089636672,2.2216047801164187,2.382863075623064,2.257766356587907,2.1154292151246428,1.9784576610887845,1.8212913095916443,1.7691981432210608,1.616464247469381,1.474520467745768,1.386180107064075,1.3012335008834741,1.218305239632797,1.1547624420179796,1.0408654925524379
9,5,2.6453905013623387,2.6454968889909303,2.6430381000812857,2.626564018030458,2.606608532279782,2.5689411036137497,2.514285963757846,2.185181006149421,2.343124353858078,2.22743051709977,2.1050682279668447,1.974432144430924,1.8267304482435511,1.7288196396772961,1.6487665759751873,1.6172748034397118,1.5909556784830152,1.536968789074689,1.480070113089459,1.435002994371679,1.0439317693191488
10,5,2.6523325667524604,2.6503755078351316,2.647377402639776,2.623491259568368,2.5977725584901736,2.5533611151448237,2.5052764353662966,2.1062784228266,2.3734112788920245,2.297296855703149,2.215016163804851,2.028580819355134,1.6868329321073272,1.3889008090119495,1.370542457171125,1.6054416734288437,1.6670266122902635,1.5806674823926632,1.4833118905952956,1.4173504040226697,0.3291976755536948
11,5,2.63593121680385,2.6361489206169035,2.636195497070599,2.611951339078832,2.590542337341959,2.548518854624091,2.5001658525316532,1.9360716037190615,2.336136222667967,2.216782154197357,2.0817483611357437,1.6357138984830588,0.9526552619949776,0.5799342909261148,0.5573399621655979,0.9844376484825164,1.370979662663678,1.2987646529052923,1.1673696554633988,1.1877185524642189,0.050049435973820694
12,5,2.659344768577616,2.6586872924800047,2.6540537503847665,2.6264034844799715,2.5896316377944926,2.5221367009893636,2.4271263411473183,1.4171900866131575,2.1314988584427987,1.9446907567574425,1.75927708735791,0.950543679693503,0.32656282694299926,0.1316798439913107,0.10888400895098008,0.35331118803310546,1.0545166256287557,0.9954443404306961,0.7385453656922801,0.9009207712190074,0.004319154384262527
13,5,2.6504644880465578,2.6477572917841083,2.64085273207058,2.6059072242377956,2.5665353999937546,2.487037716310222,2.370252581794065,0.9812301879679546,2.0418271412571616,1.8592638103513166,1.6982308008847835,0.5774967926549311,0.14415126107205925,0.050899590213156556,0.039278640258633486,0.15058785314270684,1.1095833948777618,1.0498626230173866,0.4335710313796785,0.9352545331481885,0.0015802532233172336
14,5,2.6733341011583027,2.6711393193667443,2.6669178565308527,2.6365488275657034,2.6024373716118325,2.5377582964938665,2.450239213822011,0.5923385929504857,2.2009670727869572,2.0382838788378765,1.8760883619585778,0.25177397170652105,0.048109016615966164,0.013746226369829575,0.009110426566956238,0.03724922736517863,1.0755877145243289,0.9927220265176624,0.09895352565857198,0.8158067386682747,0.00018179900887759588
15,5,2.6246266924782873,2.6246532263888143,2.623602609557967,2.6001714271306797,2.5770641288372302,2.5372940318421455,2.4788716046867156,0.30396937486633024,2.2388397994197837,2.0540953971686333,1.8571402786054323,0.08059675526524565,0.012324564214950358,0.0029448341261865615,0.001643910041181356,0.00747204464401749,0.6869304442310215,0.6072045459860299,0.018459329541013605,0.42832051000550886,1.614345250331108e-5
16,5,2.679750493890611,2.6809823864251787,2.6808994527357353,2.6514772788398298,2.6156224775577277,2.5465630710926486,2.4770481421650015,0.1348105959114211,2.1896410024312853,1.9622682210929496,1.7107156811552708,0.022084162403461883,0.0029666319495816307,0.00015093227618208997,0.00022928251719726866,0.0012172554862305688,0.1950633338402184,0.15025872050978661,0.002160664932297516,0.07648780122756978,-0.0
17,5,2.6509226873853287,2.65434642346814,2.657688249099068,2.6438032072459388,2.610521453432437,2.5125949141717654,2.4243518261182904,0.06347708936684937,2.0323015149617563,1.767451510285967,1.5051058934266117,0.005983396577177614,0.0008483747745646788,-0.0,4.541571722241848e-5,0.0002773362819256535,0.055050085492371996,0.038465238444595845,0.0004147777985115063,0.015250708503300675,-0.0
18,5,2.6778345712546088,2.679631574792592,2.6773264607669556,2.656042801821209,2.616638487061593,2.4793783805411613,2.396497499708346,0.024711683274507547,1.873665561929143,1.5398379486163123,1.2425742447987842,0.0015012343049267685,-0.0,-0.0,-0.0,4.603304397125315e-5,0.010472059106751324,0.0068500777727211835,6.385713958871755e-5,0.0024509607116799067,-0.0
19,5,2.663824737288205,2.6633434153916435,2.662205953710866,2.641782754655239,2.6125476180347524,2.476295039874477,2.4791023938523,0.016947171568466392,2.0050287870220234,1.6863465835594358,1.4135078777059453,0.0006389390700967248,-0.0,-0.0,-0.0,1.1490289065659045e-5,0.0034108326799598947,0.00208097635812786,1.1906097431610198e-5,0.0006435488682536652,-0.0
20,5,2.63516782133102,2.6355198444723897,2.636532064099459,2.6157242816300643,2.586455083423664,2.3998441405771684,2.504121044451425,0.014089625419925993,2.206157797082207,2.004798528250893,1.826935332503826,0.0003479951201858601,-0.0,-0.0,-0.0,2.7731513426348744e-6,0.0014911606086031079,0.0008479740320718699,2.058460787074584e-6,0.00022332972136286137,-0.0
21,5,2.6096401759846573,2.6067439539784405,2.6032801093376863,2.5909368707804927,2.5671815083954277,2.236496247706741,2.539779578137432,0.0064427637054886334,2.3750753833419997,2.1930925164408173,2.0091739481610764,4.8511733777597925e-5,-0.0,-0.0,-0.0,-0.0,0.00021704241838998387,0.00010789504349739512,-0.0,1.580487225556932e-5,-0.0
22,5,2.6700634196416386,2.6641766784495866,2.654564193440774,2.625056010450693,2.543155982634947,1.890251706273552,2.4728830732645335,0.0036739497420640835,2.4453940736702333,2.3351576774382545,2.203731497640159,7.867537411058813e-5,-0.0,-0.0,-0.0,-0.0,3.8615423524610634e-5,1.2253287322684636e-5,-0.0,3.4609301963390013e-6,-0.0
23,5,2.6603996065969353,2.6590570857551965,2.655723734274484,2.6181774600750973,2.4811574258838327,1.4287256008985643,2.3345980292610546,0.0008033263873565314,2.4200878146070277,2.3222338150656587,2.196145490137124,-0.0,-0.0,-0.0,-0.0,-0.0,1.5462251475397707e-6,-0.0,-0.0,-0.0,-0.0
24,5,2.660823504244984,2.662431948949766,2.6633375572410816,2.6399339371833075,2.4237543682364198,0.9825718851676883,2.088519417028819,-0.0,2.4467880577231886,2.3086813633110475,2.1578122032387093,-0.0,-0.0,-0.0,-0.0,-0.0,1.5979182629848297e-6,-0.0,-0.0,-0.0,-0.0
25,5,2.649946745878948,2.6509736230295333,2.6475822997466993,2.606727637901796,2.1673621390731133,0.5673648067427002,1.5169230238883613,-0.0,2.47988021096648,2.3852102497985452,2.246963101909368,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
26,5,2.668140296599715,2.66905216877666,2.667619290359567,2.5961073207152032,1.858136844018189,0.32267498272078904,0.9698961715724863,-0.0,2.478414275641417,2.3811932603162624,2.1958083490219997,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
27,5,2.637979092664396,2.6405986695565273,2.642243615671257,2.582748204207067,1.5069331736129885,0.18146569685833205,0.5527460158308818,-0.0,2.450136302442409,2.3322154276679714,2.112956396106815,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,5,2.679165528385321,2.679353033698604,2.672368886381099,2.5434175475706082,1.1075338190088369,0.09542725881558235,0.27371849627300276,-0.0,2.3423042640875535,2.2245877798470852,1.989948838141296,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
29,5,2.6350258941963247,2.6319153829566173,2.6244922989298076,2.416659159542204,0.7563807631130963,0.05105854839411084,0.1382111835561596,-0.0,2.323790156561596,2.2254468199543522,2.040150998525484,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,5,2.627796660557029,2.623793440986777,2.6183185693374815,2.305554690195932,0.4995916838317765,0.027109643456250037,0.06721823105375778,-0.0,2.308565125472505,2.214843466048579,2.02187851298417,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
31,5,2.675522792922666,2.677690105349424,2.676575760768599,2.1892506786875874,0.3272256637161697,0.014925983543102084,0.03315334724482773,-0.0,2.4308358774542045,2.361957611283993,2.2589781466841075,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
32,5,2.651516519113158,2.650310742991594,2.646989693882344,1.9515832364058296,0.20097844466234596,0.008412039697930172,0.015125598329931806,-0.0,2.401500067990213,2.3117336958760943,2.2165199098612796,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
33,5,2.671752501997725,2.6708560605725262,2.6694901235967663,1.6935010607590575,0.1235875378805835,0.005380192036281774,0.0072327657016014735,-0.0,2.483386797526724,2.3922901912867145,2.2826176024053044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
34,5,2.6559357306650435,2.6544487177413214,2.6545925123560994,1.4046104114258082,0.07527831834455924,0.003584666092015426,0.0032993255148585565,-0.0,2.4931886904483305,2.4169079742121546,2.3064861407450947,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
35,5,2.6372464239068534,2.63978944625732,2.639620367223575,1.1228511640845165,0.04410161202309174,0.0021227024954257813,0.0013893828047948373,-0.0,2.460153649154534,2.416252303172046,2.295403145863254,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
36,5,2.6581903237795586,2.6589855787632364,2.658156866260517,0.8265481386679467,0.026146533374646563,0.0013022281070430677,0.000716065431743863,-0.0,2.4674072678938406,2.483716529654603,2.4019267293188267,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
37,5,2.6728053060109884,2.677732791332614,2.6808851640229303,0.6101776823915825,0.01672573233449993,0.0007784053601062479,0.0003950007089122023,-0.0,2.421549102615656,2.4044007386867485,2.376025203472615,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
38,5,2.6756144441944802,2.675579655329728,2.671818010440856,0.4361177341413471,0.010891953615068176,0.0003800543124846648,0.0002071883628820642,-0.0,2.3434504108588694,2.238548889546849,2.1797013021493665,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
39,5,2.6557238345372696,2.655002968876541,2.651636338850155,0.29911003451325036,0.007138915509530267,5.913192516302781e-5,0.00011089812129782008,-0.0,2.190655871575757,2.026260802128001,1.9912528379957015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
40,5,2.6418444314351337,2.637759076944917,2.631271851696951,0.20617244580052543,0.00474281665879368,-0.0,5.361854592983026e-5,-0.0,2.2055603795684577,2.0092006961297386,1.9200010832985774,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
