Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,8,3.9010375929977967,3.8816770722606377,3.8583026385565784,3.8308604032943023,3.7993396845851,3.7637737370416446,3.7242390312537985,3.6808531781906755,3.633771690859685,3.5831838471484563,3.5293079567690278,3.472386340153961,3.412680301824096,3.3504653327965275,3.286026715551488,3.2196556404064713,3.151645881803787,3.0822910325761397,3.0118822566982444,2.9407064970260386,2.8690450629689637
2,8,5.07868681244869,5.021677155928469,4.962565762057947,4.900999238487228,4.836674736915557,4.769372902235656,4.69898504382608,4.625532022609581,4.54917213653205,4.470194919690001,4.389003594361906,4.306118726960215,4.222045052202331,4.1373504108699874,4.052624590478018,3.968378869309058,3.885090995715525,3.8031633847725734,3.714355098201865,3.6382619489384513,3.563735747127453
3,8,7.027699396983719,6.792198747042677,6.550207688635666,6.303190979544923,6.0528809886755,5.801344014248569,5.5508599724081895,5.303795223334895,5.062413322184286,4.828728162433541,4.594658696867182,4.383825473592315,4.168239974235306,3.983560901730361,3.80873842117435,3.6439415600520424,3.4886846269552145,3.3427687903177694,3.188986254426894,3.06459583371255,2.946380950739507
4,8,8.271846116841646,7.858113820175668,7.407257646696118,6.935202556135023,6.458313869413231,5.991151606082747,5.545172328624704,5.128352997707359,4.7453406446181985,4.398097940258327,4.066162857594725,3.7962445762125023,3.5321854092888554,3.3264106605286186,3.143056653359067,2.9810504634556483,2.8380890003369723,2.7135466692074894,2.592881452594847,2.5051294743842685,2.4304779809183894
5,8,9.149972067211243,8.691712466882969,8.147368104896831,7.564593977395008,6.9846900239786285,6.436395258186783,5.936722675292181,5.493385442025308,5.107259299889386,4.7748019623392715,4.461848324032185,4.2301498422731605,4.003702870548807,3.838424594628306,3.6933745337114194,3.567977069580192,3.4594692882484703,3.3675547529192884,3.276704670159982,3.2161376341972314,3.167982867264394
6,8,9.654639330223691,9.264756813272474,8.6706435457945,7.957137907623446,7.227180303082838,6.549546207697662,5.9573374192585185,5.459551806278706,5.050512197751421,4.717455832612677,4.413762805108405,4.204280726140222,3.997062152340126,3.8553545272708183,3.7299369964830995,3.620042269239528,3.5220189926752496,3.4347988812052983,3.3459513090426527,3.277427926912037,3.2154113850786397
7,8,9.833397542009065,9.52243604484144,8.924279406001974,8.134404293818907,7.332808489939958,6.635548709583574,6.08418500729031,5.674125169644191,5.378141231940757,5.163624293306273,4.966617639607018,4.8516638243530625,4.722826278436415,4.634488289565947,4.54495124469336,4.4549787200166735,4.365828731101983,4.276610337933004,4.174096712089752,4.09133514422577,4.007124199513936
8,8,9.954789969688214,9.819025708986134,9.439178622615817,8.757407184629017,7.924123809660654,7.110487599916555,6.387530223644488,5.7660862658400385,5.239626391886688,4.7992295555292355,4.407315993611681,4.123228718517476,3.8732218999304187,3.6947588957255832,3.555768499280227,3.449433433460647,3.3752367042084956,3.327439729860264,3.284807351779188,3.282948115537614,3.290968779655396
9,8,9.965715918622458,9.873576041348741,9.522703812617378,8.67569580147195,7.488429949977093,6.32625163891027,5.361260426413137,4.614357921201105,4.050548799545274,3.6272346882758066,3.2868214448066673,3.0581207209128767,2.8651574807661135,2.7438929372560743,2.652865629453073,2.587304155009751,2.543349876317053,2.5177217761297532,2.496003961702071,2.5083366807336835,2.537252519343709
