Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,5,3.8260358012819693,3.8181616236380185,3.809209099038067,3.7991117348413725,3.7877986332725815,3.7751943327847126,3.761218696929824,3.745786863702789,3.7288092710796485,3.710191778297749,3.689835907609562,3.6676392380017986,3.643495990750445,3.6172978564176788,3.588935123261958,3.558298176681262,3.5252794461577386,3.4897758773833503,3.4516919993883537,3.410943635944048,3.3674622741482936
2,5,5.199119445319049,5.160892803751488,5.117671172392104,5.069184259177943,5.015275440410401,4.955831119345841,4.890976385505127,4.820755284372436,4.745464133569518,4.665476546378493,4.581257812951767,4.493377022142355,4.402391916310773,4.308967989139459,4.213729330027068,4.117308186233714,4.020251576218757,3.9230760106356484,3.826251416734937,3.7301501744162717,3.635083618265328
3,5,5.6773971826738086,5.659236212747544,5.632036933802292,5.593620296086526,5.5415255710811975,5.47327506077723,5.386905876782517,5.281142862351706,5.15601046466815,5.012853521497086,4.854420435549384,4.684388461306531,4.507119242552217,4.326828127826204,4.14747864509278,3.9724807853666415,3.8042797388161653,3.644634660862847,3.4945186015644576,3.354245329459478,3.2234960540583564
4,5,5.782226397690105,5.7528139337603745,5.705091538711136,5.632801829059836,5.528809295401049,5.386065075179467,5.200142735961192,4.971452299420516,4.706177593583268,4.4152361632966715,4.111698655997067,3.808946686538958,3.5174261330991534,3.2458584327507767,2.99968299823411,2.78207808550646,2.593898497456702,2.434379551349735,2.3015738739742857,2.1927011021141016,2.104609995976626
5,5,5.826647662256121,5.82404278246664,5.812714100704763,5.786204127194302,5.732837921440436,5.633708843900454,5.465022427820289,5.209204149924771,4.869387318918663,4.473612829642976,4.059595222879776,3.6603853167481923,3.2973350670712147,2.981284394828484,2.714489624868423,2.4947604158226966,2.316687374120133,2.1738691991122976,2.0602454528337364,1.9701194317482231,1.898365994473843
6,5,5.715667445992156,5.716295019819616,5.706885866530317,5.678693055812952,5.615380020402433,5.490556850481338,5.273353681363052,4.949106027976565,4.53821409461832,4.088987754542186,3.649960602129109,3.2530266377146737,2.9121185865539494,2.6282815406428335,2.3951993095327038,2.204373893194595,2.0475045829841174,1.9171970115156143,1.8081088570315362,1.7155491764565842,1.6362148014910285
7,5,5.843106666648704,5.84386220714643,5.834747867449792,5.8066288077767,5.741541544338594,5.611088324363119,5.386114454163025,5.063767692617899,4.6825790540411,4.299071868292901,3.9571056674507763,3.674176898572876,3.450189006583122,3.27384424874964,3.1331536903160897,3.017524743225832,2.9189363440832765,2.832467991752181,2.754360289338018,2.682551700361424,2.6158440683446758
8,5,5.773187093628299,5.752791322953741,5.723814042418214,5.68162507494258,5.616994591272362,5.514534294601326,5.353243218982716,5.11499073870258,4.801112400636615,4.441385234234813,4.080221363703215,3.7524405214507643,3.4746825178861305,3.2467288632541087,3.0631872513587304,2.9164714344562537,2.799460074108313,2.7071820911017728,2.635035500501456,2.579642866511393,2.5383408051653324
9,5,5.775088900786889,5.77742022627807,5.7769746159524065,5.770930199316335,5.752637296521513,5.708787127564493,5.617674015655049,5.459372063919022,5.236831453454338,4.984490169959719,4.7435068908748494,4.535629943448073,4.3623713686492644,4.214317916555891,4.080280892449567,3.9519478916778312,3.824012934369804,3.694283657771473,3.5625685662424376,3.430060105637453,3.299158299724011
