Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,7,1.2560442801783265,1.2618778892153557,1.2709970909177206,1.277158485737733,1.2822683565308035,1.2864661963469066,1.2894615734626973,1.2912549545940668,1.2917791484225571,1.2909726115010625,1.2887808343818385,1.2849512563837733,1.2798883090365638,1.273355092386836,1.2657610665722485,1.256457480769119,1.244713714237153,1.2321652794619717,1.218623292784507,1.2034516831119286,1.186993194243315
2,7,2.516833404778813,2.513137498290475,2.4851570696991327,2.457772489952694,2.4216034929159087,2.3755621144131243,2.3194180026540088,2.2537233552995137,2.1766371440278682,2.0904107734843436,1.9958393026071175,1.8970500847278198,1.7910144135970751,1.6816177228166689,1.567371498869682,1.455637123370137,1.3466389616479906,1.2414261115107288,1.1501778517658574,1.0563446365486644,0.968528629837614
3,7,3.119648559858109,3.1090304948403626,3.0208112196770296,2.932323022996517,2.813337691914082,2.6622303953570206,2.4817694740952523,2.279355607575905,2.060296140653689,1.8369792249848338,1.6191383015410006,1.3849563545736259,1.204561448723854,1.0658570391434177,0.930150417644007,0.8057454489720862,0.7024153299492709,0.6149679961455493,0.5295986951628343,0.4661095166563081,0.41227656384319206
4,7,3.669557116064251,3.6570752427657562,3.519865619772365,3.3703638731551946,3.1598382184391323,2.8907463050558833,2.5806318360550407,2.2564212714423726,1.941839977929421,1.6564686191382187,1.4109682332981974,1.1111864968781346,0.9681981944887414,0.899638778936532,0.8315886109650198,0.7420851420672049,0.6575727539531507,0.5814699074475069,0.4997049194906588,0.4525594539645072,0.41130090963595983
5,7,3.902943411025792,3.8919490470081675,3.7224447773113964,3.5199782809157685,3.2243706431324295,2.8514133648738205,2.4451675603343213,2.056769549114589,1.7175918421131438,1.4383256856837707,1.217342884785953,0.9481321479590537,0.8396744510087081,0.794952520626335,0.7310215972945975,0.6553790373878005,0.5880822349346684,0.5202158490075246,0.4736313029173752,0.43421946630917785,0.3994688106387062
6,7,3.984314733178915,3.978199783102039,3.850340150394145,3.671994916217232,3.3955768381467952,3.047739260574034,2.685171041620446,2.362288989762665,2.098621208643901,1.8931241205449243,1.7343308226253953,1.5267298686051587,1.4456773595504575,1.4223574025266248,1.3853625407586596,1.3058661217506866,1.2347641959843385,1.16576070545567,1.1171120577482256,1.0670303482072674,1.018721072869611
7,7,4.015018143482698,4.011672978582604,3.9148872997025745,3.757108122144702,3.4932414268449468,3.1503381613042523,2.7900618646603346,2.465833046789284,2.1902596162264345,1.95909151886439,1.7604819002685743,1.512173283325515,1.374339929367522,1.2899960788556974,1.1717904127686853,1.0282431591340315,0.8870470043009765,0.7355144395601153,0.7584113838214657,0.6822595522540846,0.6151019546478825
8,7,4.031607726430301,4.0299995990039355,3.9618006680339763,3.8270351566901866,3.5787117005533937,3.2392991332002627,2.875723173734135,2.5450248267922673,2.258789141093806,2.015069275262829,1.8042719862771004,1.5424672343891361,1.4047229065238094,1.3307194211157551,1.1473276955625495,0.9600690843272573,0.7510313575502433,0.5225610555347531,0.840747116657387,0.7695523706253533,0.7041506277525525
9,7,4.034021938471587,4.03335445748809,3.9955070689649728,3.906683461628349,3.720349778793627,3.4449361965600227,3.135236172012508,2.8466958017723227,2.5953565799528695,2.3834673674406273,2.20052498749873,1.956234799012351,1.8586191751124557,1.8279552717773762,1.3737036819765884,0.9903471301596843,0.6208022412068129,0.33636826050679913,1.4836005186796744,1.4373292870322862,1.395124790293083
10,7,4.031274456372326,4.030632592622414,3.9957315363249113,3.912297486673518,3.7288019711343803,3.451970401884332,3.143187727438235,2.8604513640103746,2.6159231781444507,2.403995658319296,2.198411419439944,2.0058339308172375,1.9090912344111541,1.8713176796968007,0.590074638847036,0.2799070873306039,0.12337647835846424,0.05266963618486531,1.4272034232226012,1.352688381517068,1.2820175917856558
11,7,4.036065207706844,4.034560985845546,4.016629290485596,3.9668859616795946,3.8433720616575906,3.6345364407851455,3.378305033925401,3.1202301545525533,2.8680068805945216,2.5910901031354974,2.188701362820315,2.1331374121057247,2.016441535737423,2.0074048919327727,0.14759131714698084,0.05089495337029963,0.022800384997359677,0.017173639246407076,1.461812378446997,1.3825846437417026,1.3103387783992042
12,7,4.037523233052627,4.0359016071973155,4.021692760994626,3.9823539576298894,3.8793852770788435,3.688494924527595,3.430968087073787,3.1475191779420943,2.821097388198915,2.3425597962671336,1.5624133210221485,2.0589317096327013,1.954313492423053,2.0478376362258786,0.0443792308124291,0.026678761269781925,0.015483832935581794,0.010225313937428397,1.670075062823468,1.6134340391412694,1.5568809451616912
13,7,4.038857997985089,4.0386147655506734,4.0267840079214166,3.993864665669806,3.896315925019343,3.699930355745222,3.416149704432181,3.0649462094432502,2.53908549642429,1.6373414840227356,0.6964310884953466,1.802039290597907,1.641743197399235,1.9559648189459093,0.01939733098327644,0.005676311438343883,-0.0,-0.0,1.5534191969050426,1.494102953943627,1.4386265946679169
14,7,4.03010787098886,4.0304230810284984,4.022864134796653,3.9983038099568646,3.9202118724642045,3.743965062026034,3.4468139573081764,2.9514902931161977,1.9818981672014298,0.8137240354571605,0.23246615522088535,1.2438954163533615,0.9968543807848199,1.9310518319357488,0.007548435805134814,-0.0,-0.0,-0.0,1.5915748534102376,1.540427432417893,1.4882407565840237
15,7,4.024062862915369,4.023563490030265,4.01499623874801,3.9898470280024463,3.908311304773796,3.7045651515027465,3.3064504755538286,2.4512895079147485,1.0972412820347668,0.2981742558635839,0.07151360625275162,0.5311569303853788,0.3552221891578533,1.762868732450638,-0.0,-0.0,-0.0,-0.0,1.4547699456319214,1.4108460827249403,1.366100679907588
16,7,4.034317958872845,4.033132478723683,4.024898341965316,3.99925788625426,3.916970346980102,3.6816809299233433,3.0817913340176952,1.6425668225654535,0.43954820545184065,0.09607288542485354,0.02128997198503786,0.1527169109328527,0.08788082879147616,1.670176475165915,-0.0,-0.0,-0.0,-0.0,1.4028518672338255,1.3595365444988219,1.3102470287290813
17,7,4.033557358517237,4.032585207244016,4.019438731825254,3.995890274369732,3.91698828345432,3.6429043658888483,2.705169960473986,0.9380248345826532,0.19312317237659427,0.0410336707445512,0.011878337826164615,0.05775646607798291,0.030734933024791144,1.8519545754918634,-0.0,-0.0,-0.0,-0.0,1.6510428246060604,1.62916425309515,1.5663585690281812
18,7,4.04123244178566,4.038629174011537,4.024964875375997,3.995763182694533,3.902246974256032,3.497420077906303,1.92618275483345,0.39702392965557454,0.07013609418298711,0.01861198420208438,0.006012249785043164,0.0135605522542034,0.0065422664375671645,1.5067066946377123,-0.0,-0.0,-0.0,-0.0,1.2907436495308802,1.3974845855807074,1.2801487453208527
19,7,4.034346523981458,4.03212441100656,4.020575627933412,3.9922611031420177,3.8846624156405754,3.185489931634284,1.05811711702281,0.15083704404655043,0.029892683275382474,0.006397876212712128,0.0017272593910743587,0.003455544216323726,0.0014856267040575487,0.9325688590055876,-0.0,-0.0,-0.0,-0.0,0.5910460305258803,1.0266408809091727,0.5822898311850445
20,7,4.0359526739459834,4.033706955772429,4.02513203910712,3.9985904259901117,3.9055580093015743,2.8844673464094948,0.6198813215727105,0.086902945853707,0.019529446976986786,0.0039765993232720575,0.0011105301219463775,0.001934944246854759,0.001053431905894974,1.0707041995958955,-0.0,-0.0,-0.0,-0.0,0.2979543595509928,1.2786401256425965,0.15687397036641657
21,7,4.0397927198770285,4.036878273990675,4.023634569237618,3.998441089944972,3.9037330388999893,2.231290141337176,0.2998325361416244,0.044577000873947385,0.007766607875573095,0.0009087778128277139,-0.0,0.0009668022808924595,0.00036784723322499783,0.6381015221907282,-0.0,-0.0,-0.0,-0.0,0.07421534803071463,1.5032523369128017,0.02862048334872349
22,7,4.038370402194641,4.03641933232152,4.0279019973411945,4.001341185893253,3.9092763117150757,1.3835048482354306,0.11959774264341202,0.020670843126369062,0.0010328028976567137,-0.0,-0.0,0.00018934067852937174,1.6151140197875026e-5,0.15311556413617539,-0.0,-0.0,-0.0,-0.0,0.008056698423821809,1.3528718929230126,0.002493262729562776
23,7,4.03300182401888,4.0312250563326195,4.027160105124256,4.007722616754659,3.9418068838029576,0.7354966625698631,0.04750768346647375,0.00916631863963272,-0.0,-0.0,-0.0,-0.0,-0.0,0.03714370561149241,-0.0,-0.0,-0.0,-0.0,0.0011987764549848392,1.3043584427268091,0.00026240282197091496
24,7,4.03796846298492,4.037909395974714,4.029612717388274,4.007404151292074,3.951196516680633,0.3477377432612579,0.019129917503971347,0.0022704325647651433,-0.0,-0.0,-0.0,-0.0,-0.0,0.007743809698362983,-0.0,-0.0,-0.0,-0.0,0.0001437232845645165,1.0952661726237118,2.9121306345142783e-5
25,7,4.032609735553737,4.0322687716458265,4.026125041016519,4.009730684886282,3.9606801213226572,0.15821501100217927,0.009474413853406785,0.0003234074426471049,-0.0,-0.0,-0.0,-0.0,-0.0,0.0022802489091953543,-0.0,-0.0,-0.0,-0.0,3.7578229488505854e-5,0.7893762075722028,7.173583437079951e-6
26,7,4.0355607590046985,4.034692162755652,4.0288081169715095,4.006091108120088,3.953642929299802,0.0663103861081167,0.005023048958324867,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00037909179278622053,-0.0,-0.0,-0.0,-0.0,3.088582677659705e-6,0.11939975040138377,8.94960353583369e-7
27,7,4.0333616363559415,4.0324819403842325,4.022743563105059,3.9958098552112986,3.9586888275269763,0.02784144081877738,0.0025086223794605067,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.484549092345746e-5,-0.0,-0.0,-0.0,-0.0,3.3803216914471203e-7,0.016683333303996593,8.524526805854752e-7
