Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,7,1.1911657007323528,1.1881445784046312,1.1807618766084345,1.1747865102609432,1.1683399414464986,1.161456137919791,1.1546238224209007,1.1468424394820782,1.138910823686412,1.1306649642799795,1.122125535993716,1.112693945897368,1.1035414862264328,1.0941274309149,1.0844482282765107,1.0744921722083705,1.0642389682536808,1.053659471449371,1.0427156269648896,1.031360586275293,1.019539128965294
2,7,2.000243202023746,1.9767076961980594,1.9408095529424525,1.9104180553573296,1.880131576255305,1.850278122413852,1.8220907018051704,1.7934852279667426,1.7666134904236148,1.7413863868500559,1.7171969690171784,1.6943969570523314,1.6733295642799046,1.6536298456105216,1.6351489237503216,1.6177064634371985,1.6010759885110466,1.5850428937878358,1.5693090786746564,1.55362457244237,1.5377028832960726
3,7,2.932349107046094,2.9107143258678034,2.8364666302824717,2.827578258210899,2.787010790361172,2.658902656722068,2.6994203616328645,2.63486206535257,2.579812141284276,2.530697481496643,2.450012471180718,2.378076407606161,2.317649556479947,2.236944247337675,2.1521753549563765,2.0632631124323617,1.9749273293989704,1.8841112820527248,1.7958112690261256,1.7089354683673315,1.6253661609552938
4,7,3.5693510734298344,3.5440088020622813,3.2952450317890327,3.424980189208821,3.359068855804656,2.96037032157907,3.2021533136979414,3.0077375015450283,2.916486875865695,2.8746682362904705,2.701102123742819,2.5811292552448895,2.5085198772285864,2.3843498575716446,2.2636205191623797,2.1417335028886,2.038979560520168,1.931881990070552,1.8402457580643008,1.7508768828862393,1.6677474008169124
5,7,3.837712494389902,3.8180420231245713,3.4300027820406456,3.7134857040698055,3.6411902400401455,2.994490771893441,3.4468784782984914,3.072358303105887,2.9420855426592576,2.9514973830036486,2.631934653597198,2.45395711177578,2.363629490345592,2.1777274760573473,2.0051957872416084,1.836854383074615,1.7094719268077097,1.579157826653153,1.4775169986031613,1.3825775313120472,1.2995292731527064
6,7,3.98505165516347,3.9727247287135485,3.512394708174225,3.8882903911675397,3.817317864941972,3.0062552683202632,3.6127291532634387,3.0939786325209298,2.932882161818574,2.977134905123127,2.5681730538453706,2.3735350562143855,2.254059641758715,2.0609879673746154,1.8925103486140713,1.733690823048676,1.6190241408247414,1.499200791483572,1.403912322758772,1.3112820237391105,1.2264658081042228
7,7,4.022882728632721,4.016236744313221,3.540192511459814,3.9533677700052507,3.890144684651218,2.9956283583084367,3.6946971487604072,3.0785967619580497,2.912939309781738,3.0079417290738335,2.5552670957298034,2.3780144891786987,2.2183445423310104,2.040375949424103,1.8891278456700082,1.7490960618670344,1.6445648358293414,1.5352400039506628,1.4429704260395162,1.3514225809535703,1.2644718772161447
8,7,4.031384772689572,4.026518354357002,3.548714674041104,3.9687203050158253,3.9002103813765325,2.9899193065625966,3.6818942922522875,2.9529143191254974,2.7488069270332125,2.7965173511720725,2.3497813478362004,2.1645587400609574,1.9022056426407934,1.7560040520951432,1.6465646229125748,1.5506502231245136,1.5017153442943172,1.4462347391761967,1.4097164798671864,1.3726171625125685,1.337842734874042
9,7,4.0310848828009425,4.027706426155196,3.5502874382564245,3.9774727783641164,3.9097630053398538,2.9124467573555273,3.673816468191321,2.8720639818512557,2.682517637680308,2.717784622922011,2.3399151699662886,2.1254003875111196,1.942115849453537,1.8194102951153694,1.7190072692376992,1.6162847245135172,1.5542561832450874,1.4750566509898304,1.4118977137985447,1.345606959410019,1.2826810985867145
10,7,4.036938023345286,4.033751355671247,3.527300086971236,3.985630056112451,3.9177976962275447,2.8094727705073153,3.6653190394339616,2.8277128112309033,2.646794510264906,2.571579437396019,2.250876572759962,1.938793798785039,1.7832559161838888,1.626901085539043,1.4937596463342064,1.3614384675091409,1.2837079959222697,1.1966106853043983,1.1372207053995511,1.0839055778902429,1.0412269505786353
11,7,4.03191660105166,4.030091581171745,3.522073262513017,3.9842221003251983,3.9089490644626803,2.6675630263218326,3.6061522884878983,2.6954375868442733,2.5262216100365005,2.297350952460467,2.0864041308101955,1.8230776681643048,1.8508473670146848,1.7368480736022147,1.6450949264157624,1.5565416473446807,1.5115524502300677,1.4579608377905617,1.4223107390976872,1.3865426098852534,1.3527126537933425
12,7,4.033304384844184,4.03027729988625,3.53517283806098,3.9837959185082066,3.897363894512213,2.596022965994651,3.570117719592707,2.535780383633537,2.310880917927588,1.7749019633586074,1.6598214953229153,1.398608486142326,1.7254531801108575,1.6299196094062158,1.5549920407923317,1.4745431782946385,1.4487891571930096,1.402121936940294,1.3828432943362559,1.3595021919989116,1.3392238817313076
