Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,6,3.9855978540921377,3.957104064598186,3.9270630634259613,3.8954873657964795,3.8623903216890407,3.8277852375125363,3.7916845311770144,3.754098967246739,3.715037023041615,3.674504439511804,3.6325040119407657,3.5890356744186183,3.5440969278629204,3.4976836534113342,3.44979134060664,3.4004167424953278,3.3495599475194906,3.297226831433455,3.2434318226955843,3.1882008839602856,3.1315745832711737
2,6,5.081218220289103,4.959892615358946,4.832914378080693,4.701350640346468,4.5663762612825325,4.429209397245584,4.291042350533631,4.152994256709991,4.016016481968372,3.8811397376345464,3.7490205677936617,3.620252552892594,3.495256645125795,3.374359701672837,3.257710138022512,3.1453993571441483,3.037418210392074,2.9233521438218197,2.8263272065100646,2.7327282559263146,2.64247037132402
3,6,5.5239240814883805,5.270353220354754,5.01238157342531,4.7559553531092975,4.505960703747423,4.2663040575634055,4.039828258092863,3.828551256620557,3.633611102570744,3.455513852244357,3.294142774554265,3.1488327315459057,3.018552802336135,2.9019795920634324,2.7975495234674694,2.7036105523612957,2.618409982673867,2.526073356588981,2.4575334753215268,2.391595183260145,2.3270508088592754
4,6,6.780005107005425,6.593114821451961,6.363646287347781,6.103278717129699,5.826375717218315,5.546820507003505,5.27487213790293,5.01744340794392,4.777845323425937,4.557312672567907,4.354492784512026,4.1676644671454675,3.994049993640854,3.8314920189060073,3.677122018858277,3.5291007174366316,3.3858637272366803,3.236626931849066,3.1034609035065843,2.9718339984101925,2.84194847713813
5,6,7.043634166056686,6.881452993463027,6.639128567968549,6.323626190859639,5.959202958828087,5.575237067281572,5.196242730146027,4.838740740341751,4.509890068111473,4.212700510526983,3.9452383257411894,3.7046667380959084,3.4867996494971165,3.288808357551446,3.1065994325169455,2.937887337445548,2.7804484828225076,2.6197205088195425,2.484466467044886,2.3555197523725013,2.2318619874441357
6,6,7.204400289029753,7.159268908650206,7.055310414943052,6.869407794824857,6.594484404349528,6.2532911492944026,5.884887758468141,5.52739423698741,5.202484414728108,4.919473357338195,4.677893140828515,4.472615635650724,4.296856325658026,4.144748722217687,4.010844904811771,3.890018519112171,3.7790255113202385,3.6599814085272677,3.5654634177534708,3.4718358414998627,3.3776802834456765
7,6,7.235934671082824,7.207925535207949,7.122872335966008,6.936064286271321,6.615515226578448,6.185484055293024,5.7171463081759395,5.274798398250514,4.892997372694142,4.579353845529874,4.329133138524271,4.131270159590497,3.9734317062396407,3.8453227245406585,3.737191125952079,3.638852261715724,3.5448133949197187,3.4306332662553585,3.3312685078796886,3.2211985066368203,3.1011861990153404
8,6,7.23770879288343,7.227933047545715,7.193204700475024,7.113789607401308,6.963600891247351,6.719612245538277,6.384487193698093,5.9905073682226,5.582845050136855,5.1945746833049595,4.840321276300759,4.521572566811396,4.236513847568517,3.9771149259865304,3.7397999272115863,3.5180016960440046,3.3102063624553635,3.06406431226855,2.889883926496802,2.722086050129234,2.562288187341082
9,6,7.190168128924608,7.183378512809154,7.15407880564629,7.085087641087908,6.939979172465941,6.668778483932035,6.250751464471134,5.741728923271303,5.2281254807385364,4.76592656284936,4.372497020972813,4.04520394109498,3.774443509491245,3.5480311605745074,3.357701049603738,3.1951370319927426,3.0566035668986764,2.9015846769570564,2.8092855485416237,2.728627845751692,2.659260658254614
10,6,7.253837265996065,7.246231486458474,7.215614983670927,7.129758616306836,6.91477653212689,6.486412212588448,5.872148206787316,5.218719303219862,4.64014741101032,4.17862015050425,3.8276182245089645,3.5690888434340513,3.384445644037611,3.257220854778126,3.1746277654086765,3.1258998591710205,3.1020512036730343,3.0584630585755344,3.0671005782590193,3.0691776418186905,3.059743461273624
11,6,7.197287281201001,7.18443780797368,7.163286543597341,7.116072442826296,6.99177937386627,6.699461187691987,6.202672347673775,5.619144206184752,5.090244401852866,4.674024913005378,4.366984122570805,4.148295218444328,3.997947645539474,3.898421751576741,3.8372543998172173,3.8045999313789296,3.78866027827318,3.7569429431149493,3.75440779899552,3.733916156253571,3.6904061011390428
12,6,7.255406368911038,7.259718756524816,7.248846871942673,7.20708097490464,7.084842961345594,6.753113998094892,6.118598703534696,5.366515645797102,4.7186663102628135,4.2405211782154675,3.9162937556859054,3.708486733462774,3.590942414011185,3.541344741713512,3.5442948573777593,3.5844318322579145,3.644458696864734,3.6536181800185576,3.7015009581444427,3.7054958899934043,3.6691673285390842
13,6,7.176197347750896,7.153397889307286,7.117066785211206,7.063606901647806,6.9695745856922775,6.752451948861366,6.293457226931667,5.6684319434289225,5.079124554357752,4.621309727320908,4.292776914613629,4.065369631911492,3.9136305929227535,3.8195477996337504,3.7637826120487876,3.72793916076207,3.682605768804818,3.585157857098167,3.4267980353521006,3.2070050711964715,2.960590668769329
14,6,7.243216304920645,7.231361077163491,7.206376218607934,7.148804075099738,6.998947263534643,6.619777024707811,5.919273456597514,5.101382077825566,4.399371796964989,3.8842244243427286,3.526572904211118,3.283649542547788,3.1233895880481874,3.02414166393643,2.969022755684784,2.9454527205511107,2.941415160266942,2.93747397128815,2.9239679760951445,2.8757036069863866,2.7956710564858547
15,6,7.240591298462418,7.219624430610645,7.176150209710737,7.100614483919457,6.97859192859492,6.784297562878764,6.447500859736117,5.917639684509553,5.324694651583794,4.834106283594788,4.48566630670676,4.257919035022282,4.120563811742759,4.053017295563861,4.037989815866908,4.0613967524087276,4.1028637863298085,4.08226391963329,4.082088667677146,4.0343407978452825,3.956800657586862
16,6,7.183082805327814,7.18357492321534,7.17259722705703,7.138413584750779,7.05665567240056,6.895836090749403,6.635165294688415,6.292977204015749,5.922256760382703,5.574955922179047,5.272753023734539,5.019260556973306,4.806456761947653,4.6337017239825355,4.492459985922659,4.379744471039631,4.284886270916064,4.145727191681156,4.027048818398218,3.8604951537609304,3.6531943695416413
17,6,7.260872428157137,7.250891421517393,7.230178119028883,7.1983530682962105,7.15109876065473,7.069747956202385,6.904182980502862,6.6028931289532915,6.197314793916659,5.768698426273969,5.369565648709214,5.018257938381419,4.711391571839647,4.4453846619823745,4.213086489394681,4.009033416109047,3.8257386302839596,3.572438066937247,3.417243411432526,3.260198638644933,3.118338577061778
18,6,7.265704508332121,7.267341495353987,7.26084571886394,7.235354741400373,7.168714469345581,7.041951707779304,6.834097980996253,6.498450778588175,6.043945176140189,5.5496369379849355,5.077816079563412,4.660054476874749,4.295696148741867,3.9833083501809257,3.7120862338554605,3.474912811323255,3.2692347117912317,3.046052092695924,2.925747367229144,2.843322922540471,2.8064679514208595
19,6,7.227847300588468,7.2300125511878,7.220161690077686,7.193183726974556,7.140979554717755,7.03011368800857,6.761918389204488,6.266917083973285,5.68523063305068,5.169151770879926,4.7535636632287135,4.4124335247307265,4.124781091911823,3.875742017478418,3.663168469931798,3.4850964969862632,3.3425143782600824,3.206136860474684,3.1418833568135693,3.106869703287346,3.0962987416329604
20,6,7.2307902213101345,7.2319518155788876,7.218550743552594,7.184054901495901,7.117334798804715,6.992113082336475,6.667188243378037,5.974755422708839,5.158346057089463,4.512769954815026,4.0762888863794124,3.785050019306029,3.5697402260860525,3.379396876642279,3.190640289424418,2.9986573435777633,2.815804058507076,2.62717813210738,2.5068526242743343,2.4220239736311875,2.373568016710096
21,6,7.201555349782485,7.217058991623787,7.229274108893258,7.2206118616830315,7.160178483808563,7.011111170226619,6.735134059946785,6.3097937299931,5.83568849430364,5.430838362524441,5.10403426562308,4.80534517352127,4.49415307020387,4.165005568892381,3.8423139063890344,3.5493756593016483,3.302205974481261,3.086023893797112,2.9412558784298746,2.825344277240485,2.7340627339286994
22,6,7.231441483596325,7.235694457165681,7.227103276671483,7.196798542694615,7.1300422816585876,6.987305188849461,6.718754359169698,6.346842436004858,5.882275729616109,5.3925359226243765,4.981505281324242,4.658539669612904,4.39420155955046,4.1640215453204945,3.9592080455130003,3.770223306825195,3.5974835295933207,3.3655049961062464,3.2226354826649315,3.0780917288732565,2.932814197304974
23,6,7.241062889930586,7.244632166646774,7.226887714852875,7.186123845461877,7.127599436423087,7.045453959104487,6.8871219173879235,6.552960625079602,6.034949770905372,5.477755735317111,4.9589689214949,4.4805302229632264,4.051211983707359,3.67491322514898,3.349749378146444,3.071367159386477,2.8360599673047515,2.563081619705722,2.409474321202234,2.2796703567498406,2.17454165786151
24,6,7.1825556045599175,7.172631871957988,7.157962283483326,7.132228741285254,7.086999084248551,7.0070835132986495,6.862735459270228,6.399643218253525,5.443738871656036,4.618564048793989,4.039739549400699,3.588915591719827,3.2271109561886817,2.943921979803835,2.7269621291074624,2.567586841719145,2.4515879934116547,2.351691606867013,2.2999397577607965,2.269626149994214,2.2581029563412622
25,6,7.218607306441966,7.213032426475486,7.194529212402403,7.141475873489946,7.030859003189586,6.883735970332503,6.6873923734831155,6.140848084892261,5.179022693841193,4.37004564934524,3.8542015024158975,3.513623586586284,3.2748853280646997,3.097341983976419,2.9601255383389926,2.852963280688173,2.769002888152727,2.6908046449982095,2.6336593830109667,2.582814162544641,2.5343343228832196
26,6,7.259384370328844,7.237420747456647,7.194734216997188,7.132058709430718,7.0529879501610075,6.955271138407971,6.711990689872737,5.931680490793422,4.872859964020658,4.12471314391641,3.684967584969211,3.4101150801742,3.2369112313484183,3.1142559843624182,3.018807051372583,2.9335256104989496,2.8465275967686736,2.736571889386172,2.6397116525289,2.5406420948345976,2.4420170739974054
27,6,7.2157416971545345,7.204440519469201,7.168123748251396,7.094618556575024,6.979227517353488,6.8449329271121675,6.635826459482273,6.1267628062945345,5.4552212905393755,4.938023161393869,4.603511688707173,4.375805555688674,4.211092914411032,4.08167241714128,3.974507517348629,3.880983673638711,3.790473964874169,3.692996300937743,3.598991606628219,3.5017849748963865,3.4043608051175864
28,6,7.201012188830176,7.17685132292222,7.125609873251524,7.024819253285539,6.8411460101000445,6.597998575193746,6.418300391074109,6.197056473310453,5.66059801633572,5.136188996496404,4.752849785722036,4.483591925584107,4.3064931877126735,4.199525042021086,4.1320372282031625,4.05433954232374,3.9016594815529877,3.5674969873721776,3.231039984326981,2.854484029212457,2.4900269270336035
29,6,7.188886909784703,7.169877103983181,7.137387849805248,7.072595401970239,6.951117958296919,6.781728159157128,6.624667910798205,6.42560771440485,6.065388570689047,5.677862246838876,5.35683733511093,5.106474507212862,4.907292727158652,4.726124587428526,4.514065921222719,4.223421390769386,3.852418649029923,3.3901683192136507,3.0507932055590707,2.7639446175453246,2.541421887952955
30,6,7.287160913425593,7.277947349579664,7.252982712850168,7.204487861723094,7.1238151422687634,7.001671465461405,6.752114054843745,6.228272103305269,5.725388816430385,5.3345214280050905,5.005003814082997,4.747542240707121,4.556788570003625,4.405566816146115,4.24601937445772,4.02135316629001,3.7034180607222753,3.278533811126545,2.9589255964954884,2.6860631757342333,2.471534778226377
31,6,7.224468614131354,7.230827656340332,7.225996995105923,7.1982947758778915,7.122031385510093,6.95996935736827,6.713552061014688,6.217053496827211,5.431866525596191,4.777434070293879,4.306613282304753,3.9451073809451405,3.64690572569346,3.390642696981807,3.1557478810522364,2.9166381046829724,2.6588870023382594,2.394056334810986,2.168694622931439,1.979043440381994,1.8315345939725682
32,6,7.24618082669099,7.2378824501497085,7.194404894892291,7.1132639681800365,7.0010585565206345,6.874796382816465,6.74448298961359,5.954698458434837,4.878218207015054,4.282251135440524,3.9332750275842514,3.6841836767641043,3.4904038379756486,3.3459529480392405,3.2446088758819287,3.1629103041879976,3.067110865671289,2.8988692887078784,2.730803006376586,2.5476577663567634,2.3726385530696166
33,6,7.220641821751795,7.203991271227382,7.168002108312946,7.093892859238296,6.933635882789122,6.665196103728019,6.454887232784361,6.109514426292009,5.467276738853128,5.000480863212259,4.647807519474393,4.399024529776232,4.227463250134651,4.085332986064757,3.933624615353045,3.751439368449723,3.5403128672769264,3.313410942624753,3.1248332654290483,2.955603053553641,2.811596834239558
34,6,7.219849668277061,7.211147888871723,7.181679907995095,7.123499544463552,7.000870861406461,6.756052074089242,6.50059285731038,6.252345926782881,5.823205833268903,5.3160802511681045,4.841326617047209,4.495054204812533,4.257308489965373,4.088166416115171,3.9456582366221222,3.7903404238406093,3.5977524947745274,3.338569719166865,3.1707856429694967,3.017348648899492,2.887155298809686
35,6,7.2246848828236345,7.22332037332714,7.215763276501242,7.190218828922099,7.110193409664809,6.9204257691153375,6.655757652591654,6.275519267397574,5.603834995924896,5.00807548455626,4.546263576097469,4.209865062688045,3.984268683606561,3.832497221889757,3.714028151463219,3.5847438150067865,3.4099703426140744,3.1961097398994713,2.995660930331374,2.8107706179523047,2.654535124726007
36,6,7.199606972280653,7.188402814909062,7.15697246752463,7.100021068399203,6.984088598665418,6.806742549025966,6.668677012954532,6.257909981668858,5.538503097950902,4.844117906151696,4.368589976567908,4.05270972225666,3.8407049000560995,3.691773185647202,3.583514395478505,3.501713510949949,3.4353249229021805,3.428570286707274,3.3812737401169377,3.3440814161878376,3.315292893871489
37,6,7.230926485545718,7.222835754273214,7.1970033485840625,7.114869442339929,6.912278213645908,6.5402084980667725,6.028566766402363,5.551691362594134,5.201992814355092,4.861896076198808,4.545269479221675,4.291359720727206,4.105018608533026,3.9738883021011704,3.88805197118864,3.8329138015810225,3.7862078127153627,3.6961075247256403,3.6224267452931236,3.521178859147955,3.3909468854944635
