Layer,N_qubits,gamma=0.0,gamma=0.02,gamma=0.04,gamma=0.06,gamma=0.08,gamma=0.1,gamma=0.12,gamma=0.14,gamma=0.16,gamma=0.18,gamma=0.2,gamma=0.22,gamma=0.24,gamma=0.26,gamma=0.28,gamma=0.3,gamma=0.32,gamma=0.34,gamma=0.36,gamma=0.38,gamma=0.4
0,6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,6,1.2273182961056814,1.2249561172341061,1.2217208119979552,1.2182789131839127,1.2144022246058659,1.2100693694607683,1.2052738043555564,1.1999416154715838,1.1942326272870512,1.1879883183928002,1.1812471106742355,1.1740026212450352,1.1662493071924753,1.157982513699814,1.1491985377457723,1.1398947105329644,1.1300695011818014,1.1198513087604545,1.1090268428967494,1.0974701670720128,1.085571809836216
2,6,2.1096764476403127,2.1017607816309574,2.049108470370692,2.0124691785064845,1.972092108200035,1.927377273502595,1.8789428234231778,1.8281188629300005,1.7712944414126917,1.7132234214704654,1.652399703116701,1.5896700836811088,1.5249403243014836,1.4594492825164225,1.3934049850011374,1.3273170086657942,1.261679603221688,1.2088312504496947,1.1461914638537605,1.0720863899758346,1.012510951698673
3,6,2.8167366342950904,2.8007385916190146,2.693043583110159,2.6137960150252764,2.5077795974361057,2.4076826597485956,2.297898543787629,2.184301011602375,2.0444590313628024,1.9185831488720098,1.7907905098490122,1.6536059973969994,1.5469475458317512,1.4253297429040108,1.3063526289053826,1.193366971052535,1.0954605452954096,1.0150971702753357,0.9263788104203774,0.8313322922214543,0.7566240406180371
4,6,3.323770602202485,3.307240870807916,3.18428713767014,3.082857572210685,2.8859910406409925,2.7505301940233835,2.5992925820048844,2.4403992048876755,2.2325876614460527,2.0731936765499843,1.918548887062974,1.7429026672845163,1.6579482188793846,1.5278790339933528,1.4046432595757223,1.2933548407074762,1.2086620686238914,1.1328949046013421,1.0549576238969063,0.9790637291444904,0.9156247596920609
5,6,3.5777588471009,3.5690910607943875,3.4908754985495496,3.4101405065662562,3.181626140242763,3.0511475609641656,2.895579897340311,2.7248954137638677,2.474852394267977,2.3005663558548184,2.1307278188355023,1.9248644804054131,1.8552681418118706,1.7062032706057355,1.564108943820816,1.43611383136711,1.3359437610434086,1.2475023665123564,1.1585901521107613,1.0589988286503227,0.9814253587506927
6,6,3.652118943655791,3.645281894846794,3.591381148426749,3.5227564346805407,3.2851747307538535,3.150972311671226,2.983910029192945,2.7969908429345085,2.5248223412416477,2.3376238117002237,2.1617906336625663,1.9677124161160402,1.8908426903792104,1.7566572427473208,1.6381481674762535,1.5363068131318296,1.4652791014813944,1.4152838763255577,1.3588675366084308,1.292817482855236,1.2500911408436548
7,6,3.6522978144825196,3.6510550496168164,3.623234458740555,3.5779961920510437,3.349302418066214,3.2497472108819623,3.1163839197048238,2.9585694583380118,2.6973294354123225,2.531656030413293,2.3751328030932797,2.187992901525848,2.1336560407350804,2.010022374743564,1.8949211485090929,1.7908772550096277,1.7223150313619544,1.6618285219518205,1.5796287096686252,1.5286178776504982,1.4751679628744911
8,6,3.6690708461607175,3.6682161438968794,3.656269470304581,3.629460530278055,3.4164617273662685,3.350924084549748,3.260066299805175,3.1461091474354044,2.912063175701155,2.774101050886651,2.6357898815420193,2.4349652469662995,2.3932049334374343,2.2419164312467026,2.0915636308781282,1.943865192720918,1.8275897196761686,1.552860249448476,1.3054665655840547,1.4860760744290105,1.3853879822178112
9,6,3.666953939713154,3.669333925459529,3.6680142111854908,3.652623703120103,3.458493175098236,3.3928954783362335,3.292501626226593,3.158631379613085,2.897194384437631,2.713242454833045,2.5195481921008183,2.247944143788818,2.1874939825721045,1.9894403047557065,1.800665071884586,1.6348843883947606,1.5266113291394998,0.78842744444767,0.4772120573667294,1.246506376104744,1.1750853059346194
